准确性权重,连续等待权重,不稳定权重,胜出方案,最小综合风险
0.04,0.8200000000000001,0.1399999999999999,15/18,0.17875473492208577
0.04,0.8300000000000001,0.1299999999999999,15/18,0.17890064182417242
0.04,0.84,0.12,15/18,0.1790465487262591
0.04,0.85,0.10999999999999999,15/18,0.1791924556283458
0.04,0.86,0.09999999999999998,15/18,0.17933836253043245
0.04,0.87,0.08999999999999997,15/18,0.17948426943251916
0.04,0.88,0.07999999999999996,15/18,0.17963017633460582
0.04,0.89,0.06999999999999995,15/18,0.1797760832366925
0.04,0.9,0.05999999999999994,15/18,0.17992199013877916
0.04,0.91,0.04999999999999993,15/18,0.18006789704086584
0.04,0.92,0.039999999999999925,15/18,0.18021380394295253
0.04,0.93,0.029999999999999916,15/18,0.1803597108450392
0.04,0.9400000000000001,0.019999999999999907,15/18,0.1805056177471259
0.04,0.9500000000000001,0.009999999999999898,15/18,0.18065152464921255
0.04,0.96,0.0,15/18,0.18079743155129924
