outer_fold,特征,原始损失,置换后损失均值,损失增加,损失增加标准差
0,孕妇BMI,0.7152144045926118,0.7123414074667871,-0.0028729971258246723,0.0046028465590445084
0,年龄,0.7152144045926118,0.7149156230426158,-0.0002987815499959634,0.0013727973972843294
0,身高,0.7152144045926118,0.7214892439199797,0.006274839327367943,0.003523103401749313
0,体重,0.7152144045926118,0.7164856856778311,0.0012712810852193446,0.005866886022871002
0,IVF,0.7152144045926118,0.7152144045926118,0.0,0.0
0,孕次,0.7152144045926118,0.7152144045926118,0.0,0.0
0,产次,0.7152144045926118,0.7152144045926118,0.0,0.0
1,孕妇BMI,0.7168487159728877,0.7194787423600316,0.0026300263871439356,0.004495799557747258
1,年龄,0.7168487159728877,0.7143016039146736,-0.0025471120582141182,0.0017438748407502707
1,身高,0.7168487159728877,0.7157543700944811,-0.0010943458784066218,0.0027752273979016174
1,体重,0.7168487159728877,0.717230085791858,0.00038136981897030076,0.0012882516516508921
1,IVF,0.7168487159728877,0.7168487159728876,-1.1102230246251565e-16,1.1102230246251565e-16
1,孕次,0.7168487159728877,0.7168487159728876,-1.1102230246251565e-16,1.1102230246251565e-16
1,产次,0.7168487159728877,0.7168487159728876,-1.1102230246251565e-16,1.1102230246251565e-16
2,孕妇BMI,0.706508205703982,0.7101556805880709,0.003647474884088897,0.0036857615596556726
2,年龄,0.706508205703982,0.7046224996587347,-0.001885706045247293,0.001929107033343599
2,身高,0.706508205703982,0.7102378324514629,0.0037296267474808964,0.01184398595403682
2,体重,0.706508205703982,0.7070027498754583,0.0004945441714763188,0.006257129969320557
2,IVF,0.706508205703982,0.7065082057039821,1.1102230246251565e-16,1.1102230246251565e-16
2,孕次,0.706508205703982,0.7066298872815361,0.00012168157755410025,0.0002798679432731225
2,产次,0.706508205703982,0.7049423169442293,-0.0015658887597527205,0.0009538412319588202
3,孕妇BMI,0.7026923717464236,0.7049895997661052,0.002297228019681574,0.0016249907565893836
3,年龄,0.7026923717464236,0.7022183936872747,-0.0004739780591489495,0.001010518868200113
3,身高,0.7026923717464236,0.7054375152796619,0.0027451435332382923,0.0014230736600187946
3,体重,0.7026923717464236,0.7119575230918705,0.00926515134544692,0.006271916864620133
3,IVF,0.7026923717464236,0.7026923717464235,-1.1102230246251565e-16,1.1102230246251565e-16
3,孕次,0.7026923717464236,0.7068244741305343,0.0041321023841106586,0.0029693510685793816
3,产次,0.7026923717464236,0.7026923717464235,-1.1102230246251565e-16,1.1102230246251565e-16
