最小组人数,固定切点,完成外层折数,外层平均孕周,外层孕周标准差,均值安全折数,保守下限安全折数,平均最低审计均值,平均最低审计下限,典型时点,均值与LCB均4折安全
30,29.75,4,19.300881953867027,0.5185381225046481,4,4,0.9331703732528008,0.9210129744333464,17|20,True
30,30.0,4,19.14360018091361,0.5385574869339735,4,4,0.9331703732528008,0.9210129744333464,17|20,True
30,30.25,4,19.106286748077792,0.5211391635232177,4,4,0.9331703732528008,0.9210129744333464,17|20,True
30,30.5,4,19.03132066938037,0.5221916904055538,4,4,0.9331703732528008,0.9210129744333464,17|20,True
30,30.75,4,19.11177069199457,0.3370575455956204,4,4,0.9370943076004472,0.9253721083845944,17|20,True
30,31.0,4,19.57394843962008,0.5625228016798508,4,4,0.944712611302335,0.9340522184016846,18|21,True
30,31.25,4,19.364314789687924,0.5751191211193774,4,4,0.944712611302335,0.9340522184016846,17|21,True
30,31.5,4,19.319369063772047,0.6012787624701003,4,4,0.944712611302335,0.9340522184016846,17|21,True
30,31.75,4,19.345318860244237,0.5874427939227665,4,4,0.944712611302335,0.9340522184016846,18|21,True
30,32.0,4,19.296641791044777,0.5826115467875134,4,4,0.944712611302335,0.9340522184016846,18|21,True
30,32.25,4,19.236601085481684,0.6024172169822571,4,4,0.944712611302335,0.9340522184016846,18|21,True
30,32.5,4,19.271483491632743,0.4350944789289953,4,4,0.947435666515369,0.9353066826900732,18|21,True
30,32.75,4,19.344470827679785,0.3192777922778472,4,4,0.947926009172347,0.937655829741326,18|21,True
30,33.0,4,19.38907734056988,0.410532976116561,4,4,0.9524847471115468,0.9426430936502632,18|22,True
30,33.25,4,19.39246947082768,0.4656136728179671,4,4,0.9530883855075356,0.9419926983202171,18|22,True
30,33.5,4,19.29494572591588,0.4570535631939441,4,4,0.9498806214176958,0.9374867228147792,18|22,True
30,33.75,4,19.238975576662146,0.4353861843602931,4,4,0.9491190557477616,0.9367884435781544,18|22,True
30,34.0,4,19.322139303482587,0.3021440999788846,4,4,0.9501527615298822,0.9386831007004336,18|23,True
30,34.25,4,19.250791497060156,0.3718003098451716,4,4,0.949429217107145,0.9382125789917306,18|23,True
30,34.5,4,19.15682948891904,0.3871483306105852,4,4,0.9479220733693006,0.9353859934549138,18|23,True
