repeat,target,metric,value
3,T13,roc_auc,0.6334372237986696
3,T13,brier,0.055388751964452754
3,T18,sensitivity,0.9
3,T18,specificity,0.5035211267605634
3,T18,precision,0.13761467889908258
3,T18,f2,0.4269449715370019
3,T18,pr_auc,0.3595787834220264
3,T18,roc_auc,0.7796654929577465
3,T18,brier,0.06540628393884305
3,T21,sensitivity,0.7692307692307693
3,T21,specificity,0.3586776859504132
3,T21,precision,0.02512562814070352
3,T21,f2,0.1111111111111111
3,T21,pr_auc,0.01818609831249182
3,T21,roc_auc,0.38982835346471717
3,T21,brier,0.020692632730556493
3,any,sensitivity,0.7804878048780488
3,any,specificity,0.39365671641791045
3,any,precision,0.16452442159383032
3,any,f2,0.44630404463040446
3,any,pr_auc,0.40524925522822314
3,any,roc_auc,0.6962595558791409
3,any,brier,0.10137264389126001
3,z3_T13,sensitivity,0.0
3,z3_T13,specificity,0.9449225473321858
3,z3_T13,precision,0.0
3,z3_T13,f2,0.0
3,z3_T13,pr_auc,0.0503339278407791
3,z3_T13,roc_auc,0.3882402195655208
3,z3_T13,brier,
3,z3_T18,sensitivity,0.0
3,z3_T18,specificity,0.9102112676056338
3,z3_T18,precision,0.0
3,z3_T18,f2,0.0
3,z3_T18,pr_auc,0.07907782660270099
3,z3_T18,roc_auc,0.49915492957746477
3,z3_T18,brier,
3,z3_T21,sensitivity,0.0
3,z3_T21,specificity,1.0
3,z3_T21,precision,0.0
3,z3_T21,f2,0.0
3,z3_T21,pr_auc,0.027212687687702325
3,z3_T21,roc_auc,0.5172282263191355
3,z3_T21,brier,
4,T13,sensitivity,0.7647058823529411
4,T13,specificity,0.3145869947275923
4,T13,precision,0.0625
4,T13,f2,0.23550724637681159
4,T13,pr_auc,0.1784701843605789
4,T13,roc_auc,0.6508839036493332
4,T13,brier,0.0512005897432933
4,T18,sensitivity,0.782608695652174
4,T18,specificity,0.5170556552962298
4,T18,precision,0.1180327868852459
4,T18,f2,0.36809815950920244
4,T18,pr_auc,0.33018658330891365
4,T18,roc_auc,0.7319100772773398
4,T18,brier,0.06345989330121883
4,T21,sensitivity,0.9411764705882353
4,T21,specificity,0.3174061433447099
4,T21,precision,0.038461538461538464
4,T21,f2,0.1652892561983471
4,T21,pr_auc,0.09540172490254853
4,T21,roc_auc,0.5285083316603092
4,T21,brier,0.027400315383464626
4,any,sensitivity,0.775
4,any,specificity,0.4225621414913958
4,any,precision,0.17032967032967034
4,any,f2,0.45321637426900585
4,any,pr_auc,0.3907911022111603
4,any,roc_auc,0.6911567877629063
4,any,brier,0.10269312076295621
4,z3_T13,sensitivity,0.058823529411764705
4,z3_T13,specificity,0.9648506151142355
4,z3_T13,precision,0.09090909090909091
4,z3_T13,f2,0.06329113924050633
4,z3_T13,pr_auc,0.06340632642476494
4,z3_T13,roc_auc,0.4779282539026155
4,z3_T13,brier,
4,z3_T18,sensitivity,0.0
4,z3_T18,specificity,0.9389587073608617
4,z3_T18,precision,0.0
4,z3_T18,f2,0.0
4,z3_T18,pr_auc,0.07590439174399141
4,z3_T18,roc_auc,0.49843884162048235
4,z3_T18,brier,
4,z3_T21,sensitivity,0.0
4,z3_T21,specificity,0.9965870307167235
4,z3_T21,precision,0.0
4,z3_T21,f2,0.0
4,z3_T21,pr_auc,0.02710463337845085
4,z3_T21,roc_auc,0.42120056213611723
4,z3_T21,brier,
5,T13,sensitivity,0.9047619047619048
5,T13,specificity,0.2977624784853701
5,T13,precision,0.04449648711943794
5,T13,f2,0.18590998043052837
5,T13,pr_auc,0.07794806917098174
5,T13,roc_auc,0.7302680108187853
5,T13,brier,0.03394950316333662
5,T18,sensitivity,0.9354838709677419
5,T18,specificity,0.5516637478108581
5,T18,precision,0.10175438596491228
5,T18,f2,0.3545232273838631
5,T18,pr_auc,0.4214021851811305
5,T18,roc_auc,0.836958363934241
5,T18,brier,0.04127699523387255
5,T21,sensitivity,1.0
5,T21,specificity,0.2796610169491525
5,T21,precision,0.02745995423340961
5,T21,f2,0.12371134020618557
5,T21,pr_auc,0.08153307831295985
5,T21,roc_auc,0.6292372881355932
5,T21,brier,0.019475539902901105
5,any,sensitivity,0.8846153846153846
5,any,specificity,0.4218181818181818
5,any,precision,0.12637362637362637
5,any,f2,0.4020979020979021
5,any,pr_auc,0.4902858059551749
5,any,roc_auc,0.833041958041958
5,any,brier,0.06495216757611859
5,z3_T13,sensitivity,0.0
5,z3_T13,specificity,0.955249569707401
5,z3_T13,precision,0.0
5,z3_T13,f2,0.0
5,z3_T13,pr_auc,0.05039947357661041
5,z3_T13,roc_auc,0.5513482501434308
5,z3_T13,brier,
5,z3_T18,sensitivity,0.0
5,z3_T18,specificity,0.9352014010507881
5,z3_T18,precision,0.0
5,z3_T18,f2,0.0
5,z3_T18,pr_auc,0.04497464427316593
5,z3_T18,roc_auc,0.4405400824812158
5,z3_T18,brier,
5,z3_T21,sensitivity,0.0
5,z3_T21,specificity,0.9915254237288136
5,z3_T21,precision,0.0
5,z3_T21,f2,0.0
5,z3_T21,pr_auc,0.031680225677287496
5,z3_T21,roc_auc,0.5502824858757063
5,z3_T21,brier,
6,T13,sensitivity,0.9411764705882353
6,T13,specificity,0.3146853146853147
6,T13,precision,0.0392156862745098
6,T13,f2,0.16806722689075632
6,T13,pr_auc,0.15640741818991877
6,T13,roc_auc,0.8366927190456602
6,T13,brier,0.026856081191991992
6,T18,sensitivity,0.918918918918919
6,T18,specificity,0.5253623188405797
6,T18,precision,0.11486486486486487
6,T18,f2,0.38288288288288286
6,T18,pr_auc,0.46885266718586244
6,T18,roc_auc,0.8424892283587936
6,T18,brier,0.04634949839994746
6,T21,sensitivity,0.7777777777777778
6,T21,specificity,0.30344827586206896
6,T21,precision,0.0170316301703163
6,T21,f2,0.07829977628635347
6,T21,pr_auc,0.020241470408721613
6,T21,roc_auc,0.5011494252873563
6,T21,brier,0.015109390017156348
6,any,sensitivity,0.9019607843137255
6,any,specificity,0.4107806691449814
6,any,precision,0.12672176308539945
6,any,f2,0.4056437389770723
6,any,pr_auc,0.45306920199827105
6,any,roc_auc,0.8173700707048618
6,any,brier,0.06657524518337388
6,z3_T13,sensitivity,0.0
6,z3_T13,specificity,0.9632867132867133
6,z3_T13,precision,0.0
6,z3_T13,f2,0.0
6,z3_T13,pr_auc,0.023135854079136604
6,z3_T13,roc_auc,0.3680584121760592
6,z3_T13,brier,
6,z3_T18,sensitivity,0.0
6,z3_T18,specificity,0.9492753623188406
