outer_fold,label,feature,importance
1,T13,检测抽血次数,0.0
1,T13,原始读段数,0.0
1,T13,在参考基因组上比对的比例,0.0
1,T13,重复读段的比例,0.05167318508028984
1,T13,唯一比对的读段数,0.03986705094575882
1,T13,GC含量,0.0
1,T13,13号染色体的Z值,0.054044049233198166
1,T13,18号染色体的Z值,0.0
1,T13,21号染色体的Z值,0.0
1,T13,X染色体的Z值,0.045927297323942184
1,T13,X染色体浓度,0.11212240159511566
1,T13,13号染色体的GC含量,0.07289400696754456
1,T13,18号染色体的GC含量,0.0660548284649849
1,T13,21号染色体的GC含量,0.09858742356300354
1,T13,被过滤掉读段数的比例,0.09207958728075027
1,T13,怀孕次数,0.0
1,T13,生产次数,0.0
1,T13,BMI缺失,0.0
1,T13,abs_Z13,0.0
1,T13,GC偏离_13,0.0
1,T13,abs_Z18,0.0
1,T13,GC偏离_18,0.0
1,T13,abs_Z21,0.06320393830537796
1,T13,GC偏离_21,0.11456305533647537
1,T13,最大绝对目标Z,0.049348536878824234
1,T13,目标Z极差,0.0
1,T13,唯一读段占比,0.0
1,T13,IVF_试管,0.0
1,T18,年龄,0.0
1,T18,身高,0.0
1,T18,体重,0.0
1,T18,孕妇BMI,0.0474436990916729
1,T18,孕周_周,0.04628438875079155
1,T18,检测抽血次数,0.0
1,T18,原始读段数,0.0
1,T18,在参考基因组上比对的比例,0.034028828144073486
1,T18,重复读段的比例,0.04865681380033493
1,T18,唯一比对的读段数,0.0
1,T18,GC含量,0.04669914022088051
1,T18,13号染色体的Z值,0.04498839005827904
1,T18,18号染色体的Z值,0.06072651594877243
1,T18,21号染色体的Z值,0.07553406804800034
1,T18,X染色体的Z值,0.0530739352107048
1,T18,X染色体浓度,0.13853541016578674
1,T18,13号染色体的GC含量,0.08671283721923828
1,T18,18号染色体的GC含量,0.0
1,T18,21号染色体的GC含量,0.05413822829723358
1,T18,被过滤掉读段数的比例,0.0
1,T18,怀孕次数,0.0
1,T18,生产次数,0.0
1,T18,BMI缺失,0.0
1,T18,abs_Z13,0.0
1,T18,GC偏离_13,0.11096828430891037
1,T18,abs_Z18,0.0
1,T18,GC偏离_18,0.056332748383283615
1,T18,abs_Z21,0.049274150282144547
1,T18,GC偏离_21,0.0
1,T18,最大绝对目标Z,0.0
1,T18,目标Z极差,0.04660247638821602
1,T18,唯一读段占比,0.0
1,T18,IVF_试管,0.0
1,T21,年龄,0.030763257294893265
1,T21,身高,0.017877092584967613
1,T21,体重,0.023257486522197723
1,T21,孕妇BMI,0.018163245171308517
1,T21,孕周_周,0.04428593069314957
1,T21,检测抽血次数,0.0
1,T21,原始读段数,0.02073143981397152
1,T21,在参考基因组上比对的比例,0.030689995735883713
1,T21,重复读段的比例,0.037805065512657166
1,T21,唯一比对的读段数,0.03654618188738823
1,T21,GC含量,0.01719525456428528
1,T21,13号染色体的Z值,0.04779869690537453
1,T21,18号染色体的Z值,0.016634276136755943
1,T21,21号染色体的Z值,0.03519254922866821
1,T21,X染色体的Z值,0.026423592120409012
1,T21,X染色体浓度,0.0338449627161026
1,T21,13号染色体的GC含量,0.03431404381990433
1,T21,18号染色体的GC含量,0.06137906014919281
1,T21,21号染色体的GC含量,0.03582829609513283
1,T21,被过滤掉读段数的比例,0.037729837000370026
1,T21,怀孕次数,0.02283519320189953
1,T21,生产次数,0.0
1,T21,BMI缺失,0.0
1,T21,abs_Z13,0.032354217022657394
1,T21,GC偏离_13,0.041268378496170044
1,T21,abs_Z18,0.040450919419527054
1,T21,GC偏离_18,0.058266859501600266
1,T21,abs_Z21,0.023692473769187927
1,T21,GC偏离_21,0.04313940182328224
1,T21,最大绝对目标Z,0.024492448195815086
1,T21,目标Z极差,0.04757336527109146
1,T21,唯一读段占比,0.05946646258234978
1,T21,IVF_试管,0.0
1,any,年龄,0.03545252978801727
1,any,身高,0.04475729167461395
1,any,体重,0.0
1,any,孕妇BMI,0.0576460026204586
1,any,孕周_周,0.050779275596141815
1,any,检测抽血次数,0.0
1,any,原始读段数,0.0
1,any,在参考基因组上比对的比例,0.0
1,any,重复读段的比例,0.0
1,any,唯一比对的读段数,0.03464297950267792
1,any,GC含量,0.0
1,any,13号染色体的Z值,0.05440913885831833
