target,metric,point,ci_low,ci_high,valid
T13,brier,0.035408526088164576,0.020783513403150627,0.052393302172648724,2000
T13,f2,0.19455252918287938,0.1185696374686557,0.27434340640922494,2000
T13,pr_auc,0.12841307804514904,0.056509735365823176,0.28430968250818817,2000
T13,precision,0.04739336492890995,0.02666585956416465,0.07243165887850465,2000
T13,roc_auc,0.7346481398476019,0.5740104630985133,0.8810766619482017,2000
T13,sensitivity,0.8695652173913043,0.7037037037037037,1.0,2000
T13,specificity,0.30927835051546393,0.2563599942026585,0.3631432639608011,2000
T18,brier,0.05848230128767603,0.04254473063540276,0.07538384549795475,2000
T18,f2,0.4056795131845842,0.30878493299316734,0.4954954954954955,2000
T18,pr_auc,0.41224031816859635,0.2548793204100975,0.5568394773833137,2000
T18,precision,0.12944983818770225,0.0879451316136984,0.17770414844608656,2000
T18,roc_auc,0.8005755619506884,0.7229774503569829,0.8655424679648926,2000
T18,sensitivity,0.8695652173913043,0.7580645161290323,0.9722409909909909,2000
T18,specificity,0.518783542039356,0.4622294432495241,0.5766055927104841,2000
T21,brier,0.02104936712986195,0.010180114891056951,0.03373196311245881,2000
T21,f2,0.11554621848739496,0.05446327081557261,0.18165357167715487,2000
T21,pr_auc,0.033494887752352,0.011224334649323089,0.14364277926505303,2000
T21,precision,0.025943396226415096,0.01152073732718894,0.04328265256238232,2000
T21,roc_auc,0.48323804573804574,0.3084048521788215,0.64338374398833,2000
T21,sensitivity,0.8461538461538461,0.6153846153846154,1.0,2000
T21,specificity,0.30236486486486486,0.2569558101472995,0.349664017598442,2000
any,brier,0.08313306184199568,0.06600165267778123,0.10127053123779632,2000
any,f2,0.43613707165109034,0.3490350663582126,0.5177304964539007,2000
any,pr_auc,0.44582019875513446,0.31143395177864147,0.569077389784758,2000
any,precision,0.1497326203208556,0.10868828796983622,0.19571965515428685,2000
any,roc_auc,0.7623037230205848,0.6861432033911209,0.8328372221354065,2000
any,sensitivity,0.835820895522388,0.7368238304093567,0.9264705882352942,2000
any,specificity,0.40892193308550184,0.35537688134027906,0.4624217401480354,2000
z3_T13,brier,,,,0
z3_T13,f2,0.044642857142857144,0.0,0.1428828365878724,2000
z3_T13,pr_auc,0.04204825229617656,0.021927443659671905,0.10331747158211597,2000
z3_T13,precision,0.05,0.0,0.1875,2000
z3_T13,roc_auc,0.47325564022112654,0.35559209894806976,0.6227314135793636,2000
z3_T13,sensitivity,0.043478260869565216,0.0,0.14285714285714285,2000
z3_T13,specificity,0.9673539518900344,0.9451067686575757,0.9850498338870431,2000
z3_T18,brier,,,,0
z3_T18,f2,0.0,0.0,0.0,2000
z3_T18,pr_auc,0.07646918588490434,0.05031283374785642,0.11619934647279712,2000
z3_T18,precision,0.0,0.0,0.0,2000
z3_T18,roc_auc,0.5154779497549974,0.4274464663978408,0.5976631250444642,2000
z3_T18,sensitivity,0.0,0.0,0.0,2000
z3_T18,specificity,0.9409660107334525,0.9105223846082694,0.9679944495745335,2000
z3_T21,brier,,,,0
z3_T21,f2,0.0,0.0,0.0,2000
z3_T21,pr_auc,0.025637236061688166,0.012167471865192821,0.07036205180825597,2000
z3_T21,precision,0.0,0.0,0.0,2000
z3_T21,roc_auc,0.4903846153846154,0.336576802037831,0.6653680118126566,2000
z3_T21,sensitivity,0.0,0.0,0.0,2000
z3_T21,specificity,0.9966216216216216,0.9913941480206541,1.0,2000
