material,recommended_thickness_um,bootstrap95_lo_um,bootstrap95_hi_um,sensitivity_max_abs_um,angle_difference_um,three_harmonic_cv_gain_pct,multibeam_decision
SiC,7.481316197992847,7.3977927632205,7.584614030948907,0.03759915668541769,0.0018319648106261965,-5.67553984653577,不采用多谐波厚度修正；仅保留谐波迹象
Si,3.475480214915292,3.386298299930981,3.628349736750137,0.05830090329834814,0.0015849726624974636,-4.681037144858152,不采用多谐波厚度修正；仅保留谐波迹象
