组,BMI下界,BMI上界,人数,平均预测90%达标孕周,建议检测时点_向上取整到天,平均预测95%达标孕周,25周平均达标概率
1,-inf,32.06042201834308,147,14.071428571428557,14.142857142857142,17.071428571428548,0.9931608755911213
2,32.06042201834308,34.27864753521448,66,15.142857142857125,15.142857142857142,18.4285714285714,0.9888185090148228
3,34.27864753521448,inf,54,18.49999999999997,18.571428571428573,22.35714285714281,0.9702994516006259
