建议层级,BMI范围,样本数,最佳NIPT时点,适用条件
题面主推荐,BMI<34.357,215,第18周,题目三级风险口径；准确性与稳定性优先
题面主推荐,BMI≥34.357,52,第22周,题目三级风险口径；准确性与稳定性优先
连续风险折中,BMI<34.357,215,第16周,假定13至27周内等待损失随孕周连续增加
连续风险折中,BMI≥34.357,52,第18周,假定13至27周内等待损失随孕周连续增加
