方案,低BMI周,高BMI周,患者平均孕周,总体预测达标概率,准确性风险,连续时间风险,分段时间风险,重复折安全率_x,不稳定风险,Bootstrap安全率,重复折安全率_y,重复4_4比例,重复审计稳定,误差标准差,确定达标比例均值,区间不确定比例均值,状态改变率均值
15/18,15,18,15.584269662921349,0.910240776225544,0.0897592237744561,0.1845906902086677,1.0,0.83,0.17,0.9812,0.83,0.41,False,0.0037158655842,0.8277003745318352,0.1089550561797752,0.0434981273408239
16/18,16,18,16.38951310861423,0.9244240560576044,0.0755759439423955,0.2421080791867308,1.0,0.94,0.06,0.9976,0.94,0.77,True,0.0037158655842,0.8544756554307117,0.0875955056179775,0.0393408239700374
18/22,18,22,18.779026217228463,0.955462428956538,0.0445375710434619,0.4127875869448903,1.0,1.0,0.0,1.0,1.0,1.0,True,0.0037158655842,0.9152696629213484,0.0546067415730337,0.0271535580524344
