方案,低BMI周,高BMI周,患者平均孕周,总体预测达标概率,准确性风险,连续时间风险,分段时间风险,重复折安全率,不稳定风险
15/18,15,18,15.584269662921349,0.9102407762255439,0.08975922377445611,0.1845906902086677,1.0,0.83,0.17000000000000004
16/18,16,18,16.38951310861423,0.9244240560576045,0.07557594394239553,0.24210807918673086,1.0,0.94,0.06000000000000005
18/22,18,22,18.779026217228463,0.9554624289565381,0.0445375710434619,0.4127875869448903,1.0,1.0,0.0
