开发可靠性阈值,最小组人数,可求解,该网格胜出,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器
0.9,40,True,False,4,29.512416|30.472290|34.721552,15|15|15|19,15.659176029962547,0.9057390398922713,0.9003078355799553,40|41|142|44,ordered_dynamic_programming_global
0.925,20,True,True,1,,17,17.0,0.9321268746096223,0.9282623103028105,267,ordered_dynamic_programming_global
0.925,20,True,False,2,34.268071,16|20,16.808988764044944,0.9304370534658857,0.9255723236693998,213|54,ordered_dynamic_programming_global
0.925,20,True,False,3,28.802200|34.268071,16|16|20,16.808988764044944,0.9296890382058316,0.9255723236693998,20|193|54,ordered_dynamic_programming_global
0.925,20,True,False,4,28.943954|29.596477|34.268071,16|16|16|20,16.808988764044944,0.9294952028440023,0.9255723236693998,22|20|171|54,ordered_dynamic_programming_global
0.925,25,True,True,1,,17,17.0,0.9321268746096223,0.9282623103028105,267,ordered_dynamic_programming_global
0.925,25,True,False,2,34.268071,16|20,16.808988764044944,0.9304370534658857,0.9255723236693998,213|54,ordered_dynamic_programming_global
0.925,25,True,False,3,29.131119|34.268071,16|16|20,16.808988764044944,0.9299416755498195,0.9255723236693998,25|188|54,ordered_dynamic_programming_global
0.925,25,True,False,4,29.131119|29.788378|34.268071,16|16|16|20,16.808988764044944,0.9293549011015984,0.9255711383511588,25|25|163|54,ordered_dynamic_programming_global
0.925,30,True,True,1,,17,17.0,0.9321268746096223,0.9282623103028105,267,ordered_dynamic_programming_global
0.925,30,True,False,2,34.268071,16|20,16.808988764044944,0.9304370534658857,0.9255723236693998,213|54,ordered_dynamic_programming_global
0.925,30,True,False,3,29.201415|34.268071,16|16|20,16.808988764044944,0.9295657554630437,0.9255723236693998,30|183|54,ordered_dynamic_programming_global
0.925,30,True,False,4,29.201415|33.788756|35.591373,16|16|18|21,16.865168539325843,0.9299943540639796,0.9253256110037926,30|171|33|33,ordered_dynamic_programming_global
0.925,35,True,True,1,,17,17.0,0.9321268746096223,0.9282623103028105,267,ordered_dynamic_programming_global
0.925,35,True,False,2,34.268071,16|20,16.808988764044944,0.9304370534658857,0.9255723236693998,213|54,ordered_dynamic_programming_global
0.925,35,True,False,3,29.374358|34.268071,16|16|20,16.808988764044944,0.9294880259241132,0.9255723236693998,35|178|54,ordered_dynamic_programming_global
0.925,35,True,False,4,29.374358|30.301237|33.300511,16|16|16|19,16.89887640449438,0.9293697579987346,0.9252949917243357,35|37|115|80,ordered_dynamic_programming_global
0.925,40,True,True,1,,17,17.0,0.9321268746096223,0.9282623103028105,267,ordered_dynamic_programming_global
0.925,40,True,False,2,34.268071,16|20,16.808988764044944,0.9304370534658857,0.9255723236693998,213|54,ordered_dynamic_programming_global
0.925,40,True,False,3,29.512416|34.268071,16|16|20,16.808988764044944,0.9298637613005889,0.9255723236693998,40|173|54,ordered_dynamic_programming_global
