最小组人数,固定切点,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器,平均检测孕周,总体达标概率,政策组最低均值,政策组最低保守下限,审计层最低均值,审计层最低保守下限,均值安全,保守下限安全,政策组人数,审计层人数,政策组均值,政策组保守下限,审计层均值,审计层保守下限
20,36.5,2,36.500000,19|24,19.39325842696629,0.9592521561516647,0.9528142838203708,246|21,fixed_cut_calibrated_times,19.39325842696629,0.9606743312827889,0.9592521561516647,0.9528142838203708,0.945143773431114,0.9390599517046975,True,True,246|21,67|66|67|67,0.960796|0.959252,0.958335|0.952814,0.968773|0.968362|0.960533|0.945144,0.965838|0.965329|0.956410|0.939060
20,36.75,2,36.750000,19|24,19.374531835205993,0.9584644983646919,0.9518347617065851,247|20,fixed_cut_calibrated_times,19.374531835205993,0.9604488597046085,0.9584644983646919,0.9518347617065851,0.9442452523658282,0.938162704476286,True,True,247|20,67|66|67|67,0.960610|0.958464,0.958139|0.951835,0.968773|0.968362|0.960533|0.944245,0.965838|0.965329|0.956410|0.938163
25,29.25,2,29.250000,18|19,18.883895131086142,0.954264789534736,0.9510367936833878,31|236,fixed_cut_calibrated_times,18.883895131086142,0.9549198868122224,0.954264789534736,0.9510367936833878,0.9262116788813759,0.9189253411944334,True,True,31|236,67|66|67|67,0.959907|0.954265,0.955144|0.951037,0.964774|0.968362|0.960533|0.926212,0.961516|0.965329|0.956410|0.918925
25,29.5,2,29.500000,18|19,18.850187265917604,0.9539302041714691,0.9505905548339354,40|227,fixed_cut_calibrated_times,18.850187265917604,0.9545796172241713,0.9539302041714691,0.9505905548339354,0.9262116788813759,0.9189253411944334,True,True,40|227,67|66|67|67,0.958265|0.953930,0.954101|0.950591,0.963418|0.968362|0.960533|0.926212,0.960017|0.965329|0.956410|0.918925
25,29.75,2,29.750000,18|19,18.831460674157302,0.9534236429336914,0.9500324893329515,45|222,fixed_cut_calibrated_times,18.831460674157302,0.9544444174630179,0.9534236429336914,0.9500324893329515,0.9262116788813759,0.9189253411944334,True,True,45|222,67|66|67|67,0.959480|0.953424,0.955598|0.950032,0.962879|0.968362|0.960533|0.926212,0.959528|0.965329|0.956410|0.918925
25,30.0,2,30.000000,18|20,19.54307116104869,0.9602937122027075,0.9569952067282922,61|206,fixed_cut_calibrated_times,19.54307116104869,0.9610478391718251,0.9602937122027075,0.9569952067282922,0.93906326999661,0.9326933879372433,True,True,61|206,67|66|67|67,0.960294|0.961271,0.956995|0.958175,0.961427|0.975268|0.968645|0.939063,0.958125|0.972638|0.965178|0.932693
25,30.25,2,30.250000,18|20,19.475655430711612,0.960436317462248,0.9571895871962512,70|197,fixed_cut_calibrated_times,19.475655430711612,0.9605690405748728,0.960436317462248,0.9571895871962512,0.93906326999661,0.9326933879372433,True,True,70|197,67|66|67|67,0.960436|0.960616,0.957190|0.957425,0.960074|0.974704|0.968645|0.939063,0.956704|0.972069|0.965178|0.932693
25,30.5,2,30.500000,18|20,19.363295880149813,0.9594597890362048,0.956319901505423,85|182,fixed_cut_calibrated_times,19.363295880149813,0.9596281074141172,0.9594597890362048,0.956319901505423,0.93906326999661,0.9326933879372433,True,True,85|182,67|66|67|67,0.959460|0.959707,0.956368|0.956320,0.960074|0.970898|0.968645|0.939063,0.956704|0.967512|0.965178|0.932693
25,30.75,2,30.750000,18|20,19.250936329588015,0.9586125372739952,0.9549882165866452,100|167,fixed_cut_calibrated_times,19.250936329588015,0.958667762563331,0.9586125372739952,0.9549882165866452,0.93906326999661,0.9326933879372433,True,True,100|167,67|66|67|67,0.958760|0.958613,0.955869|0.954988,0.960074|0.967013|0.968645|0.939063,0.956704|0.963164|0.965178|0.932693
25,31.0,2,31.000000,18|20,19.168539325842698,0.9572733269326411,0.9534979771115775,111|156,fixed_cut_calibrated_times,19.168539325842698,0.9580795382869046,0.9572733269326411,0.9534979771115775,0.93906326999661,0.9326933879372433,True,True,111|156,67|66|67|67,0.959213|0.957273,0.956395|0.953498,0.960074|0.964633|0.968645|0.939063,0.956704|0.960733|0.965178|0.932693
25,31.25,2,31.250000,18|20,19.078651685393258,0.9556038794759907,0.9516077123050616,123|144,fixed_cut_calibrated_times,19.078651685393258,0.9573834321646563,0.9556038794759907,0.9516077123050616,0.93906326999661,0.9326933879372433,True,True,123|144,67|66|67|67,0.959467|0.955604,0.956888|0.951608,0.960074|0.961817|0.968645|0.939063,0.956704|0.958082|0.965178|0.932693
25,31.5,2,31.500000,18|20,19.04868913857678,0.9547772772063056,0.9507253198086237,127|140,fixed_cut_calibrated_times,19.04868913857678,0.957198333840033,0.9547772772063056,0.9507253198086237,0.93906326999661,0.9326933879372433,True,True,127|140,67|66|67|67,0.959867|0.954777,0.957348|0.950725,0.960074|0.961068|0.968645|0.939063,0.956704|0.957475|0.965178|0.932693
25,31.75,2,31.750000,18|21,19.46067415730337,0.9594569167255402,0.9570330545383902,137|130,fixed_cut_calibrated_times,19.46067415730337,0.9607961350065285,0.9594569167255402,0.9570330545383902,0.9498197230704802,0.9442605718990663,True,True,137|130,67|66|67|67,0.959457|0.962207,0.957033|0.958512,0.960074|0.959633|0.973641|0.949820,0.956704|0.956157|0.970311|0.944261
25,32.0,2,32.000000,18|21,19.382022471910112,0.9593563343690137,0.9570273354792654,144|123,fixed_cut_calibrated_times,19.382022471910112,0.9602160787145967,0.9593563343690137,0.9570273354792654,0.9498197230704802,0.9442605718990663,True,True,144|123,67|66|67|67,0.959356|0.961223,0.957027|0.957373,0.960074|0.959633|0.971329|0.949820,0.956704|0.956157|0.967836|0.944261
25,32.25,2,32.250000,18|21,19.314606741573034,0.958834490544891,0.9564548402055312,150|117,fixed_cut_calibrated_times,19.314606741573034,0.9596079765699687,0.958834490544891,0.9564548402055312,0.9498197230704802,0.9442605718990663,True,True,150|117,67|66|67|67,0.958834|0.960600,0.956455|0.956614,0.960074|0.959633|0.968906|0.949820,0.956704|0.956157|0.964900|0.944261
25,32.5,2,32.500000,18|21,19.224719101123597,0.9586621359502304,0.9550839528828968,158|109,fixed_cut_calibrated_times,19.224719101123597,0.9589124846604962,0.9586621359502304,0.9550839528828968,0.9498197230704802,0.9442605718990663,True,True,158|109,67|66|67|67,0.958662|0.959275,0.956380|0.955084,0.960074|0.959633|0.966134|0.949820,0.956704|0.956157|0.962083|0.944261
25,32.75,2,32.750000,18|21,19.134831460674157,0.9581120713050097,0.9537967157553257,166|101,fixed_cut_calibrated_times,19.134831460674157,0.9581594889273181,0.9581120713050097,0.9537967157553257,0.9498197230704802,0.9442605718990663,True,True,166|101,67|66|67|67,0.958112|0.958237,0.955849|0.953797,0.960074|0.959633|0.963133|0.949820,0.956704|0.956157|0.958811|0.944261
25,33.0,2,33.000000,18|21,19.02247191011236,0.9566139612661045,0.9518155237141928,176|91,fixed_cut_calibrated_times,19.02247191011236,0.957204951997093,0.9566139612661045,0.9518155237141928,0.9498197230704802,0.9442605718990663,True,True,176|91,67|66|67|67,0.957511|0.956614,0.955287|0.951816,0.960074|0.959633|0.959329|0.949820,0.956704|0.956157|0.954841|0.944261
25,33.25,2,33.250000,18|22,19.243445692883896,0.9571326206148313,0.9549074126429257,184|83,fixed_cut_calibrated_times,19.243445692883896,0.9589649439783905,0.9571326206148313,0.9549074126429257,0.9573811924394793,0.9526797693086103,True,True,184|83,67|66|67|67,0.957133|0.963027,0.954907|0.958619,0.960074|0.959633|0.957381|0.958782,0.956704|0.956157|0.952680|0.953936
25,33.5,2,33.500000,18|22,19.10861423220974,0.9565898252315169,0.9542588605735278,193|74,fixed_cut_calibrated_times,19.10861423220974,0.9578477397091337,0.9565898252315169,0.9542588605735278,0.9529290500530377,0.9478974968257206,True,True,193|74,67|66|67|67,0.956590|0.961129,0.954259|0.956425,0.960074|0.959633|0.952929|0.958782,0.956704|0.956157|0.947897|0.953936
