重复,方案,最低审计均值,最低审计保守下限,均值安全,保守下限安全,平均检测孕周
1,v2数据切点35.33,0.9470167558455443,0.9402157779049927,True,True,18.54307116104869
1,v2整数切点35_开发18_23,0.9477584985264559,0.940984712502191,True,True,18.56179775280899
1,v2整数切点35_部署18_22,0.9440528302930721,0.9372791088556636,True,True,18.44943820224719
1,问题2_18_22,0.9532214784948032,0.9478319544182623,True,True,18.644194756554306
1,问题2_16_18,0.9112018112590362,0.9024558282264236,True,True,16.322097378277153
2,v2数据切点35.33,0.9415687780761683,0.9353006142221637,True,True,18.84269662921348
2,v2整数切点35_开发18_23,0.9438072501604804,0.9373868371531422,True,True,18.917602996254683
2,v2整数切点35_部署18_22,0.937511818069156,0.9312456192754327,True,True,18.734082397003746
2,问题2_18_22,0.9471915735161744,0.9417912373398327,True,True,18.9438202247191
2,问题2_16_18,0.8957286856051239,0.8877685410117149,True,False,16.471910112359552
3,v2数据切点35.33,0.9419925795818299,0.9352188356766927,True,True,18.617977528089888
3,v2整数切点35_开发18_23,0.9453936496659019,0.9384672448115757,True,True,18.711610486891384
3,v2整数切点35_部署18_22,0.9408136412768369,0.9340357704371223,True,True,18.56928838951311
3,问题2_18_22,0.9478256498964761,0.9432423030840009,True,True,18.779026217228463
3,问题2_16_18,0.9049857562604913,0.8970634786622538,True,False,16.38951310861423
4,v2数据切点35.33,0.9428285545043253,0.9357520922544976,True,True,18.617977528089888
4,v2整数切点35_开发18_23,0.9439470693874066,0.9368082680043522,True,True,18.655430711610485
4,v2整数切点35_部署18_22,0.9392444486425118,0.9323073087892082,True,True,18.524344569288388
4,问题2_18_22,0.9444007273967888,0.9392629051387222,True,True,18.704119850187265
4,问题2_16_18,0.9010821085810378,0.8928991426719451,True,False,16.352059925093634
5,v2数据切点35.33,0.9482886466507569,0.9424023802416157,True,True,18.730337078651687
5,v2整数切点35_开发18_23,0.9482886466507569,0.9437988798694927,True,True,18.823970037453183
5,v2整数切点35_部署18_22,0.9462393455676432,0.9401854956480573,True,True,18.65917602996255
5,问题2_18_22,0.9482886466507569,0.9437988798694927,True,True,18.794007490636705
5,问题2_16_18,0.9069907383578969,0.8995635769723792,True,False,16.39700374531835
6,v2数据切点35.33,0.9447076542747395,0.9376287652090994,True,True,18.84269662921348
6,v2整数切点35_开发18_23,0.9467057055699334,0.9394396113285081,True,True,18.917602996254683
6,v2整数切点35_部署18_22,0.9408900592946392,0.9336393957589493,True,True,18.734082397003746
6,问题2_18_22,0.9490130978584855,0.9442061490054099,True,True,18.913857677902623
6,问题2_16_18,0.9009540775134938,0.8918676599790871,True,False,16.45692883895131
7,v2数据切点35.33,0.9466936068771391,0.9410044354435986,True,True,18.786516853932586
7,v2整数切点35_开发18_23,0.9493036290975636,0.943502618977628,True,True,18.861423220973784
7,v2整数切点35_部署18_22,0.9434674525718788,0.9378072533621634,True,True,18.689138576779026
7,问题2_18_22,0.9518614037612437,0.9475149633905502,True,True,18.853932584269664
7,问题2_16_18,0.9016359144368642,0.8946908557875701,True,False,16.426966292134832
8,v2数据切点35.33,0.9431930317993358,0.9368140452059297,True,True,18.692883895131086
8,v2整数切点35_开发18_23,0.9465440861468771,0.9400323079462896,True,True,18.786516853932586
8,v2整数切点35_部署18_22,0.9412298708948136,0.9347707649059612,True,True,18.629213483146067
8,问题2_18_22,0.9493562700557999,0.9440796066751274,True,True,18.794007490636705
8,问题2_16_18,0.9011663186629838,0.8928958114342017,True,False,16.39700374531835
9,v2数据切点35.33,0.9445633788782798,0.9377067271513837,True,True,18.44943820224719
9,v2整数切点35_开发18_23,0.9458875071867189,0.938961530469004,True,True,18.48689138576779
9,v2整数切点35_部署18_22,0.9426734388260734,0.9358205367880392,True,True,18.38951310861423
9,问题2_18_22,0.9519664576946093,0.9483076577370615,True,True,18.61423220973783
9,问题2_16_18,0.9112522848586397,0.9026074919706679,True,True,16.307116104868914
10,v2数据切点35.33,0.9451507819608514,0.9393140088219629,True,True,18.56179775280899
10,v2整数切点35_开发18_23,0.9465846137740984,0.9414283324252728,True,True,18.655430711610485
10,v2整数切点35_部署18_22,0.9438190741306393,0.9379654147883983,True,True,18.524344569288388
10,问题2_18_22,0.9465846137740984,0.9414283324252728,True,True,18.704119850187265
10,问题2_16_18,0.9057408790919577,0.8982149197022273,True,False,16.352059925093634
11,v2数据切点35.33,0.9496685489146163,0.944477130790254,True,True,18.767790262172284
11,v2整数切点35_开发18_23,0.9502984485709095,0.9455946092885956,True,True,18.823970037453183
11,v2整数切点35_部署18_22,0.9454646105260297,0.9403834401927574,True,True,18.65917602996255
11,问题2_18_22,0.949404192034122,0.9445532944858117,True,True,18.749063670411985
11,问题2_16_18,0.9008231996997949,0.8937901265164144,True,False,16.374531835205993
12,v2数据切点35.33,0.949978573330459,0.9443524697359977,True,True,18.711610486891384
12,v2整数切点35_开发18_23,0.9503343749612193,0.9446390359909999,True,True,18.730337078651687
12,v2整数切点35_部署18_22,0.9452002205860265,0.9393886681592982,True,True,18.584269662921347
12,问题2_18_22,0.953127627282898,0.9481707539390964,True,True,18.764044943820224
12,问题2_16_18,0.9075727456492981,0.8993216401299747,True,False,16.382022471910112
13,v2数据切点35.33,0.9485574416362593,0.9431168985225423,True,True,18.674157303370787
13,v2整数切点35_开发18_23,0.9506045507042804,0.9451656133550492,True,True,18.730337078651687
13,v2整数切点35_部署18_22,0.9453119115383174,0.9398037815402175,True,True,18.584269662921347
13,问题2_18_22,0.949720444093564,0.9445463300744593,True,True,18.689138576779026
13,问题2_16_18,0.903874730398923,0.8957352818629924,True,False,16.344569288389515
14,v2数据切点35.33,0.9482549120251392,0.9428920817332495,True,True,18.54307116104869
14,v2整数切点35_开发18_23,0.9482549120251392,0.9429753199509493,True,True,18.636704119850187
14,v2整数切点35_部署18_22,0.9477279313970889,0.9418584259029318,True,True,18.50936329588015
14,问题2_18_22,0.9482549120251392,0.9429753199509493,True,True,18.779026217228463
14,问题2_16_18,0.9157936359633024,0.909232504903203,True,True,16.38951310861423
15,v2数据切点35.33,0.9425359269329142,0.9358722331925122,True,True,18.711610486891384
15,v2整数切点35_开发18_23,0.9458729455830376,0.9388676294175736,True,True,18.84269662921348
15,v2整数切点35_部署18_22,0.9401783053212012,0.9331030971960276,True,True,18.674157303370787
15,问题2_18_22,0.9514310891875618,0.945905356596674,True,True,18.883895131086142
15,问题2_16_18,0.9023883126503939,0.8932961370639623,True,False,16.44194756554307
16,v2数据切点35.33,0.9439453788573431,0.9368963393764017,True,True,18.636704119850187
16,v2整数切点35_开发18_23,0.9473457277823402,0.9401888755811524,True,True,18.730337078651687
16,v2整数切点35_部署18_22,0.9426554956434617,0.9354606359274324,True,True,18.584269662921347
16,问题2_18_22,0.9479555434781783,0.9431932608800393,True,True,18.734082397003746
