重复,袋外人数,存在方案,胜出组数,胜出切点,胜出推荐孕周,胜出开发平均孕周,袋外平均检测孕周,袋外总体达标概率,袋外政策组最低均值,袋外政策组最低保守下限,袋外审计层最低均值,袋外审计层最低保守下限,袋外均值安全,袋外保守下限安全,袋外政策组人数,袋外审计层人数,袋外政策组均值,袋外政策组保守下限,袋外审计层均值,袋外审计层保守下限
576,100,True,2,35.467684,18|24,18.674157303370787,18.84,0.9566794723138762,0.9554693638957696,0.951614419597184,0.9498651523809426,0.9394048339365169,True,True,86|14,29|30|12|29,0.955469|0.964113,0.951614|0.958343,0.961236|0.961496|0.950095|0.949865,0.957608|0.957380|0.939405|0.940711
577,95,True,2,34.720990,18|23,18.973782771535582,18.789473684210527,0.9576300810569197,0.9563054549079943,0.9524372060856927,0.9494085915259125,0.9388515663791245,True,True,80|15,34|25|16|20,0.956305|0.964695,0.952437|0.955810,0.961638|0.956172|0.949409|0.959216,0.957563|0.949232|0.938852|0.949676
578,105,True,2,35.717248,18|23,18.636704119850187,18.38095238095238,0.9525344371770519,0.9470979829606325,0.9356161387631342,0.9402528477123343,0.9300222322189188,True,True,97|8,21|29|25|30,0.952983|0.947098,0.948782|0.935616,0.957706|0.961992|0.951958|0.940253,0.951892|0.957664|0.944753|0.930022
579,94,True,2,35.647570,18|24,18.674157303370787,19.02127659574468,0.9539077886233529,0.9517543473295578,0.947057705056631,0.9425931547127847,0.9321136821236565,True,True,78|16,29|21|19|25,0.951754|0.964406,0.947058|0.958415,0.958533|0.960936|0.942593|0.951238,0.952321|0.956744|0.932114|0.941319
580,100,True,1,,19,19.0,19.0,0.9587627713732649,0.9587627713732649,0.9543603827655833,0.9364856129541395,0.9253205916643479,True,True,100,28|17|28|27,0.958763,0.954360,0.970552|0.973227|0.959672|0.936486,0.966874|0.968549|0.953197|0.925321
581,98,True,1,,19,19.0,19.0,0.9584834542819975,0.9584834542819975,0.9537590028160766,0.9351414916791094,0.9229038964211068,True,True,98,23|30|18|27,0.958483,0.953759,0.967566|0.969569|0.963414|0.935141,0.962584|0.964351|0.956485|0.922904
582,95,True,2,35.817449,18|24,18.98876404494382,18.31578947368421,0.9550709409382323,0.9544083018750478,0.9502690919884795,0.9491297554674458,0.9403059855226674,True,True,90|5,24|27|31|13,0.954408|0.966998,0.950269|0.961176,0.956724|0.960276|0.949130|0.955376,0.949639|0.956160|0.940306|0.943283
583,101,True,2,35.467684,18|23,18.56179775280899,18.594059405940595,0.9540396341786124,0.950914829833919,0.9408764345222962,0.9482903358991961,0.9379634812838201,True,True,89|12,31|22|23|25,0.954461|0.950915,0.950318|0.940876,0.960546|0.955264|0.950348|0.948290,0.955829|0.948278|0.942136|0.937963
584,106,True,2,35.647570,18|24,18.696629213483146,18.735849056603772,0.9566263438439199,0.9555483726730828,0.9517638671016126,0.9529622591809221,0.9450195348990527,True,True,93|13,26|28|20|32,0.955548|0.964338,0.951764|0.958275,0.959990|0.959393|0.954243|0.952962,0.954617|0.954628|0.945462|0.945020
585,93,True,2,34.792923,18|23,18.861423220973784,18.591397849462364,0.9577460914894046,0.9563266504965698,0.952339736776245,0.948220050999752,0.9392929829559903,True,True,82|11,26|26|25|16,0.956327|0.968327,0.952340|0.961479,0.961653|0.960907|0.948220|0.961147,0.957531|0.956618|0.939293|0.949021
586,94,True,2,34.817975,18|23,18.99250936329588,18.74468085106383,0.9554659039821034,0.9530607244721455,0.9425701042900877,0.9452666569304095,0.9317147205476805,True,True,80|14,26|25|27|16,0.955887|0.953061,0.951194|0.942570,0.958601|0.960806|0.953546|0.945267,0.950920|0.954753|0.945307|0.931715
587,99,True,1,,19,19.0,19.0,0.9591629156712734,0.9591629156712734,0.9547401183154073,0.921799253744509,0.9073613749916986,True,True,99,24|33|26|16,0.959163,0.954740,0.972657|0.967931|0.958570|0.921799,0.968464|0.963886|0.951380|0.907361
588,99,True,2,35.986499,18|24,18.674157303370787,18.545454545454547,0.9503316496350792,0.9495835510512455,0.9449871677097669,0.9419667244749148,0.9323875714964976,True,True,90|9,33|17|17|32,0.949584|0.957813,0.944987|0.946824,0.956027|0.957698|0.947654|0.941967,0.950646|0.949717|0.937381|0.932388
589,98,True,2,35.633551,18|24,18.674157303370787,18.918367346938776,0.9566200022883982,0.9552130598633523,0.9509885260535704,0.9478448809289403,0.939075195638437,True,True,83|15,35|14|23|26,0.955213|0.964405,0.950989|0.958741,0.960306|0.959682|0.947845|0.957773,0.955111|0.953617|0.939075|0.949282
590,99,True,2,35.467684,18|24,18.674157303370787,18.96969696969697,0.9533871214720997,0.9512022425201918,0.946364715896617,0.9439039990282245,0.9341531853952438,True,True,83|16,24|20|21|34,0.951202|0.964721,0.946365|0.959644,0.955231|0.960094|0.943904|0.953997,0.948147|0.952976|0.934153|0.945692
591,95,True,2,35.432222,18|23,18.56179775280899,18.789473684210527,0.951462390280213,0.945843942177064,0.9374675765462931,0.9441551161549253,0.9358119885805102,True,True,80|15,24|23|16|32,0.952516|0.945844,0.947945|0.937468,0.962988|0.952961|0.946635|0.944155,0.957706|0.945757|0.936809|0.935812
592,96,True,2,35.676651,18|23,18.636704119850187,18.520833333333332,0.9527740337776452,0.9487875405617168,0.9373589148851945,0.9457491168338181,0.9357886744638729,True,True,86|10,31|25|21|19,0.953238|0.948788,0.949140|0.937359,0.955605|0.959070|0.945749|0.947637,0.949137|0.954480|0.935789|0.937629
593,96,True,1,,19,19.0,19.0,0.9594559969666095,0.9594559969666095,0.9547809252023916,0.9192378513117749,0.9008105838036181,True,True,96,30|31|20|15,0.959456,0.954781,0.970144|0.966359|0.962889|0.919238,0.966442|0.962161|0.955608|0.900811
594,99,True,2,36.113195,18|24,18.674157303370787,18.363636363636363,0.9486002712771129,0.9473309823158351,0.9426094750867501,0.9360635868654068,0.924595045524138,True,True,93|6,23|19|31|26,0.947331|0.968274,0.942609|0.964414,0.957937|0.955309|0.948076|0.936064,0.951930|0.946567|0.940805|0.924595
595,108,True,2,35.647570,18|24,18.696629213483146,18.88888888888889,0.9547066582041663,0.9535042828737236,0.9494376030332892,0.9491465385026814,0.9413044662405818,True,True,92|16,29|25|17|37,0.953504|0.961620,0.949438|0.954726,0.960985|0.958333|0.949147|0.949890,0.956683|0.951478|0.941304|0.941920
596,91,True,2,36.089038,18|23,18.655430711610485,18.32967032967033,0.9485837799014939,0.9370573887633431,0.9221429246831172,0.9281888899959152,0.9152251524628585,True,True,85|6,27|21|28|15,0.949397|0.937057,0.944947|0.922143,0.958027|0.955666|0.945092|0.928189,0.952938|0.949269|0.936756|0.915225
597,100,True,1,,19,19.0,19.0,0.9587063840324549,0.9587063840324549,0.9542548662349112,0.930777804396511,0.9205982634300265,True,True,100,33|29|10|28,0.958706,0.954255,0.970648|0.968068|0.970350|0.930778,0.966476|0.963607|0.967162|0.920598
598,94,True,2,35.875684,18|24,18.696629213483146,18.638297872340427,0.9545160962015737,0.9534260721369199,0.9491613482072312,0.9472828853273534,0.9348973119335254,True,True,84|10,20|31|23|20,0.953426|0.963672,0.949161|0.953602,0.962912|0.958514|0.948117|0.947283,0.958043|0.953314|0.939742|0.934897
599,105,True,2,36.157500,18|24,18.696629213483146,18.285714285714285,0.9491148722057575,0.9482267532248465,0.9438964442581134,0.9361555905325628,0.9240736628910675,True,True,100|5,28|20|34|23,0.948227|0.966877,0.943896|0.962922,0.955202|0.959041|0.947030|0.936156,0.949516|0.953457|0.939639|0.924074
600,99,True,2,35.078934,18|22,18.46441947565543,18.727272727272727,0.9504845515946967,0.9444635357924945,0.9342433913472378,0.936332401806562,0.925591502222362,True,True,81|18,20|25|23|31,0.951823|0.944464,0.946610|0.934243,0.966604|0.958050|0.947319|0.936332,0.961477|0.951359|0.939529|0.925592
601,102,True,2,35.986499,18|24,18.741573033707866,18.294117647058822,0.9534433003857785,0.9530410872718676,0.9485812297399249,0.944042490651112,0.9301430351292969,True,True,97|5,30|24|34|14,0.953041|0.961246,0.948895|0.948581,0.957141|0.961366|0.948458|0.944042,0.951959|0.956663|0.939881|0.930143
602,95,True,2,35.365688,18|23,18.580524344569287,18.789473684210527,0.9539000535327496,0.9499333241073781,0.9418042399132817,0.9476938000529669,0.9400269230112279,True,True,80|15,13|25|28|29,0.954644|0.949933,0.950349|0.941804,0.963343|0.962461|0.948300|0.947694,0.958305|0.957069|0.940282|0.940027
603,93,True,2,34.999822,18|23,18.655430711610485,18.913978494623656,0.9542153855905366,0.9525720088028478,0.947889500108711,0.9488166219994302,0.93950757783843,True,True,76|17,15|19|26|33,0.952572|0.961562,0.947890|0.954235,0.957379|0.957143|0.957103|0.948817,0.950773|0.949801|0.951630|0.939508
