最小组人数,固定切点,outer_fold,组数,切点,推荐孕周,开发平均孕周,开发组最低均值,开发组最低保守下限,开发组人数,求解器,测试平均检测孕周,测试总体达标概率,测试政策组最低均值,测试政策组最低保守下限,测试审计层最低均值,测试审计层最低保守下限,测试均值安全,测试保守下限安全,测试政策组人数,测试审计层人数,测试政策组均值,测试政策组保守下限,测试审计层均值,测试审计层保守下限
20,32.5,3,2,32.500000,17|21,18.592039800995025,0.954992844580743,0.9516850404888868,121|80,fixed_cut_calibrated_times,18.757575757575758,0.9523693034137753,0.9513715237908313,0.9463136707174905,0.9495012907098939,0.9342155907312523,True,True,37|29,17|15|11|23,0.951372|0.953642,0.946314|0.946599,0.955086|0.952783|0.949501|0.951463,0.949727|0.946149|0.934216|0.943612
20,32.75,0,2,32.750000,18|21,19.2,0.9549031623009437,0.9506619806910359,120|80,fixed_cut_calibrated_times,18.940298507462686,0.9606633673684998,0.954830044450126,0.9434542167428429,0.9379122031122739,0.9228598926838552,True,True,46|21,18|15|22|12,0.963326|0.954830,0.959290|0.943454,0.968696|0.964072|0.964177|0.937912,0.963312|0.957844|0.957149|0.922860
20,32.75,1,2,32.750000,19|21,19.77,0.9543951996800855,0.9501600893024753,123|77,fixed_cut_calibrated_times,19.71641791044776,0.9592872305628799,0.9588176991962616,0.9554482947356164,0.9498928630103692,0.9459386361586382,True,True,43|24,17|17|20|13,0.958818|0.960128,0.956548|0.955448,0.962212|0.958589|0.963501|0.949893,0.960952|0.955143|0.958150|0.945939
20,32.75,2,2,32.750000,19|20,19.37,0.9586812758465292,0.9519834388052759,126|74,fixed_cut_calibrated_times,19.402985074626866,0.9616461429365777,0.9571485305494987,0.9445146820657413,0.9524363092289391,0.938212611186547,True,True,40|27,14|20|10|23,0.964682|0.957149,0.959559|0.944515,0.961906|0.966462|0.972833|0.952436,0.953610|0.958174|0.965733|0.938213
20,32.75,3,2,32.750000,18|21,19.074626865671643,0.964168312737419,0.9592876969062917,129|72,fixed_cut_calibrated_times,19.318181818181817,0.9595736471171171,0.9536423325878761,0.9465988063987335,0.9514626613378059,0.9436121789362638,True,True,37|29,17|15|11|23,0.964223|0.953642,0.960040|0.946599,0.967301|0.965438|0.956594|0.951463,0.963043|0.959988|0.943924|0.943612
20,33.0,0,2,33.000000,18|22,19.5,0.9597799299777345,0.9569410141733605,125|75,fixed_cut_calibrated_times,18.955223880597014,0.9606589748440629,0.9578867404597622,0.9455335305945438,0.9477793951731112,0.9344839130061543,True,True,51|16,18|15|22|12,0.961529|0.957887,0.957462|0.945534,0.968696|0.964072|0.958782|0.947779,0.963312|0.957844|0.950769|0.934484
20,33.0,1,2,33.000000,19|22,20.05,0.9589393968883345,0.95671362482767,130|70,fixed_cut_calibrated_times,19.940298507462686,0.9607839015797613,0.9582466361838964,0.9558831675136658,0.9582606227063314,0.9547945107403719,True,True,46|21,17|17|20|13,0.958247|0.966342,0.955883|0.961948,0.962212|0.958589|0.963076|0.958261,0.960952|0.955143|0.956614|0.954795
20,33.0,2,2,33.000000,19|20,19.325,0.9588662522820268,0.9516610073578273,135|65,fixed_cut_calibrated_times,19.388059701492537,0.9615531532136642,0.9563790414660317,0.9433156268278061,0.9524363092289391,0.938212611186547,True,True,41|26,14|20|10|23,0.964834|0.956379,0.959832|0.943316,0.961906|0.966462|0.972210|0.952436,0.953610|0.958174|0.965150|0.938213
20,33.0,3,2,33.000000,18|21,18.940298507462686,0.9632741676795815,0.957952435595833,138|63,fixed_cut_calibrated_times,19.272727272727273,0.9592729772997731,0.9523571309469497,0.9453939833077912,0.9514626613378059,0.9430813396679799,True,True,38|28,17|15|11|23,0.964369|0.952357,0.960291|0.945394,0.967301|0.965438|0.954790|0.951463,0.963043|0.959988|0.943081|0.943612
20,33.25,0,2,33.250000,18|22,19.38,0.9592231565685936,0.9563972483330606,131|69,fixed_cut_calibrated_times,18.83582089552239,0.960020843408568,0.953438685959804,0.9404661794440605,0.9477793951731112,0.9344839130061543,True,True,53|14,18|15|22|12,0.961760|0.953439,0.957839|0.940466,0.968696|0.964072|0.956838|0.947779,0.963312|0.957844|0.949495|0.934484
20,33.25,1,2,33.250000,19|22,19.975,0.9589306996921894,0.9555771272679824,135|65,fixed_cut_calibrated_times,19.80597014925373,0.9599969296748214,0.9586427971967176,0.9563874514132636,0.9582606227063314,0.9546885929656632,True,True,49|18,17|17|20|13,0.958643|0.963683,0.956387|0.959379,0.962212|0.958589|0.960440|0.958261,0.960952|0.955143|0.954689|0.954795
20,33.25,2,2,33.250000,19|21,19.58,0.9605354513564274,0.9572491302954595,142|58,fixed_cut_calibrated_times,19.746268656716417,0.9641485715528273,0.96259522367986,0.9506822404641798,0.9600102378330173,0.9474407681919654,True,True,42|25,14|20|10|23,0.965073|0.962595,0.960176|0.950682,0.961906|0.966462|0.972179|0.960010,0.953610|0.958174|0.964837|0.947441
20,33.25,3,2,33.250000,18|21,18.850746268656717,0.9612383881629452,0.9555375418981648,144|57,fixed_cut_calibrated_times,19.181818181818183,0.9578585123114687,0.9520329280606503,0.9445831452228663,0.9463032863176821,0.9313575191170861,True,True,40|26,17|15|11|23,0.961645|0.952033,0.956590|0.944583,0.967301|0.965438|0.946303|0.951463,0.963043|0.959988|0.931358|0.943612
20,33.5,0,2,33.500000,18|22,19.22,0.9581630192348729,0.9541195362967487,139|61,fixed_cut_calibrated_times,18.776119402985074,0.9597017776908203,0.9507014216521376,0.9375606769008534,0.9477793951731112,0.9344839130061543,True,True,54|13,18|15|22|12,0.961869|0.950701,0.958017|0.937561,0.968696|0.964072|0.955866|0.947779,0.963312|0.957844|0.948908|0.934484
20,33.5,1,2,33.500000,19|22,19.885,0.9580116962453005,0.9548953429934476,141|59,fixed_cut_calibrated_times,19.671641791044777,0.9590765919668569,0.9585433086286876,0.9564085794804821,0.9573564342217266,0.9522628126743831,True,True,52|15,17|17|20|13,0.958543|0.960925,0.956409|0.956685,0.962212|0.958589|0.957356|0.958261,0.960952|0.955143|0.952263|0.954795
20,33.5,2,2,33.500000,19|21,19.51,0.9603251519374367,0.9561526735673189,149|51,fixed_cut_calibrated_times,19.686567164179106,0.9639658142699937,0.9600102378330173,0.9474407681919654,0.9600102378330173,0.9474407681919654,True,True,44|23,14|20|10|23,0.966034|0.960010,0.961231|0.947441,0.961906|0.966462|0.970955|0.960010,0.953610|0.958174|0.964549|0.947441
20,33.5,3,2,33.500000,18|21,18.761194029850746,0.959280622415089,0.9531249386878856,150|51,fixed_cut_calibrated_times,19.045454545454547,0.9558707009990096,0.9514626613378059,0.9436121789362638,0.9343764184429283,0.9157593973866138,True,True,43|23,17|15|11|23,0.958228|0.951463,0.951909|0.943612,0.967301|0.965438|0.934376|0.951463,0.963043|0.959988|0.915759|0.943612
