变量,原模型系数,Bootstrap下限,Bootstrap中位数,Bootstrap上限
week_c,0.16675709147418002,0.1448690522576796,0.1649566787706921,0.18716534277795416
week_c2,0.04276079010202063,0.028270014726565037,0.042537676097487806,0.05450996789586944
bmi_c,-0.07191396055746478,-0.11852247153868246,-0.08299129203599107,-0.056722254175985594
week_c:bmi_c,0.00843099538089915,-0.006541906664987438,0.008492130164379838,0.03084588389707395
