outer_fold,训练人数,测试人数,审计切点,低BMI基础时点,高BMI基础时点,低BMI裕量天数,高BMI裕量天数,低BMI校准时点,高BMI校准时点,开发Bootstrap下界,开发最低审计概率,开发可行候选数,开发安全可行
0,200,67,30.153098|31.686783|34.040136,14.428571428571413,17.99999999999997,5,4,15.142857142857125,18.57142857142854,0.8916802464488186,0.8992552176524009,150,True
1,200,67,30.127285|31.724831|33.994467,14.85714285714284,17.714285714285687,1,1,14.999999999999982,17.85714285714283,0.8910704164912618,0.8994885768421977,210,True
2,200,67,30.065446|31.721771|33.538981,14.571428571428555,15.571428571428552,3,3,14.999999999999982,15.999999999999979,0.8912759501062791,0.9054526666589712,181,True
3,201,66,30.129913|31.640625|33.516868,14.714285714285698,17.714285714285687,5,5,15.42857142857141,18.4285714285714,0.8904547951671518,0.9029057016780905,142,True
