方案,外层安全折数,外层折数,平均检测孕周,平均最低审计概率,最差折最低审计概率,平均总体达标概率,相对当前增加天数
内层90%均值时点,2,4,15.14714576468306,0.8840374440518017,0.8583351641801399,0.9018696614186356,0.15241971958387524
当前精确14.429/18,1,4,15.12537151902822,0.8820869980155361,0.849182488451643,0.9007061687694559,0.0
固定整周15/18,3,4,15.585312075983701,0.8925884511745655,0.8670286279140509,0.9102025086990567,3.219583898688363
Bootstrap下界校准,3,4,15.641815274277942,0.8945780946161659,0.8792401052322979,0.9119255810059053,3.6151062867480483
固定整周15/19,3,4,15.780416101311605,0.8962275665320498,0.8670286279140509,0.9134555803966227,4.5853120759836905
保守18/22,4,4,18.780416101311594,0.9441718002396914,0.9343764184429283,0.9554677056604532,25.585312075983616
