outer_fold,方案,样本数,低BMI人数,高BMI人数,低BMI时点,高BMI时点,平均孕周,总体达标概率,最低审计概率,审计层1,审计层2,审计层3,审计层4,安全通过
0,内层90%均值时点,67,57,10,14.428571428571413,17.99999999999997,14.961620469083142,0.9079972073569013,0.8893381202532682,0.923928429560175,0.9155837153494268,0.8999676357976644,0.8893381202532682,False
0,当前精确14.429/18,67,57,10,14.428571428571413,17.99999999999997,14.961620469083142,0.9079972073569013,0.8893381202532682,0.923928429560175,0.9155837153494268,0.8999676357976644,0.8893381202532682,False
0,固定整周15/18,67,57,10,14.999999999999982,17.99999999999997,15.447761194029834,0.91708356125807,0.8910181689255531,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.8910181689255531,True
0,Bootstrap下界校准,67,57,10,15.142857142857125,18.57142857142854,15.654584221748381,0.9207274220641716,0.8999802642921769,0.935991779037118,0.9284963579504137,0.9142580324940471,0.8999802642921769,True
0,固定整周15/19,67,57,10,14.999999999999982,18.999999999999968,15.597014925373117,0.9196906886783573,0.9055746303554905,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.9055746303554905,True
0,保守18/22,67,57,10,17.99999999999997,21.999999999999957,18.597014925373102,0.958699396172021,0.9442818313942745,0.9686959933244302,0.9640717261811579,0.9547215361016828,0.9442818313942745,True
1,内层90%均值时点,67,57,10,14.85714285714284,17.714285714285687,15.28358208955222,0.9016521398545736,0.8972098035263368,0.9085174331733431,0.9024887769975277,0.8972098035263368,0.8984147482172997,True
1,当前精确14.429/18,67,57,10,14.428571428571413,17.99999999999997,14.961620469083142,0.8948847329362231,0.8883015934223029,0.9001128300807244,0.8938098053168364,0.8883015934223029,0.8995815720401809,False
1,固定整周15/18,67,57,10,14.999999999999982,17.99999999999997,15.447761194029834,0.9046769229382635,0.9000324660202936,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9025975502124286,True
1,Bootstrap下界校准,67,57,10,14.999999999999982,17.85714285714283,15.426439232409363,0.9043455213492978,0.9000324660202936,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9008895574077594,True
1,固定整周15/19,67,57,10,14.999999999999982,18.999999999999968,15.597014925373117,0.9067999619989895,0.9000324660202936,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9135393669100166,True
1,保守18/22,67,57,10,17.99999999999997,21.999999999999957,18.597014925373106,0.9488981019059356,0.9451335794934016,0.9529673931615551,0.9488218854694194,0.9451335794934016,0.9494679616233139,True
2,内层90%均值时点,67,54,13,14.571428571428555,15.571428571428552,14.765458422174824,0.9050232526648454,0.891266688247462,0.9043215885628618,0.9135450989217645,0.9206019880537666,0.891266688247462,True
2,当前精确14.429/18,67,54,13,14.428571428571413,17.99999999999997,15.12153518123666,0.9109815495829273,0.9015257899349304,0.9015257899349304,0.9109304617929682,0.9180741661501161,0.9136979072002862,True
2,固定整周15/18,67,54,13,14.999999999999982,17.99999999999997,15.58208955223879,0.9190644714729069,0.9122745418383645,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.9177658169564527,True
2,Bootstrap下界校准,67,54,13,14.999999999999982,15.999999999999979,15.194029850746253,0.9126429147140888,0.8990595429198952,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.8990595429198952,True
2,固定整周15/19,67,54,13,14.999999999999982,18.999999999999968,15.776119402985058,0.9216174234289982,0.9122745418383645,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.9252026770024578,True
2,保守18/22,67,54,13,17.99999999999997,21.999999999999957,18.776119402985046,0.9573967389580448,0.9528953716281611,0.9528953716281611,0.9583243384241804,0.9633540893758109,0.9567399410936099,True
3,内层90%均值时点,66,47,19,14.714285714285698,17.714285714285687,15.577922077922057,0.8928060457982219,0.8583351641801399,0.9115300317837152,0.9080057370844444,0.8583351641801399,0.8855398095700554,False
3,当前精确14.429/18,66,47,19,14.428571428571413,17.99999999999997,15.456709956709942,0.8889611852017717,0.849182488451643,0.9041660564198819,0.9004735099206278,0.849182488451643,0.8892393583652803,False
3,固定整周15/18,66,47,19,14.999999999999982,17.99999999999997,15.863636363636344,0.8999850791269866,0.8670286279140509,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.8922935852914224,False
3,Bootstrap下界校准,66,47,19,15.42857142857141,18.4285714285714,16.29220779220777,0.9099864658960629,0.8792401052322979,0.9278992514796586,0.9247836769810347,0.8792401052322979,0.901801007031094,False
3,固定整周15/19,66,47,19,14.999999999999982,18.999999999999968,16.15151515151513,0.9057142474801456,0.8670286279140509,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.9087338075222269,False
3,保守18/22,66,47,19,17.99999999999997,21.999999999999957,19.15151515151512,0.9568765856058116,0.9343764184429283,0.9673007448084209,0.9654381193699819,0.9343764184429283,0.9543491128181942,True
