outer_fold,最大可行组数,组数,切点,推荐孕周,开发组人数,开发平均孕周,开发最低LCB,测试平均孕周,测试总体达标概率,测试审计最低均值,测试审计最低LCB,测试均值安全,测试LCB安全
0,6,1,,19,200,19.0,0.9515546772309522,19.0,0.9598200776794458,0.9128021812753427,0.8937957743578857,True,False
1,6,2,35.170717,19|23,170|30,19.6,0.9533177355429046,19.47761194029851,0.9573225827394568,0.9523119728831576,0.9452047330315895,True,True
2,6,1,,19,200,19.0,0.9535576140384582,19.0,0.958278484942002,0.9434428002253891,0.9274115389481246,True,True
3,6,2,32.454460,17|20,120|81,18.208955223880597,0.9501749616936114,18.318181818181817,0.946908603549188,0.9386090698577575,0.9282773246200096,True,True
