变量,原模型系数,Bootstrap下限,Bootstrap中位数,Bootstrap上限
week_c,0.16675709147418002,0.13571222629687557,0.16624951678424454,0.19453317559237612
week_c2,0.04276079010202063,0.02361436865055084,0.04314616080124312,0.0607874440175584
bmi_c,-0.07191396055746478,-0.12922259867070005,-0.07214109708110339,-0.0005395610576795873
week_c:bmi_c,0.00843099538089915,-0.02194760506044675,0.009440663216322686,0.028992011802300367
