outer_fold,选择规则,患者数,异常患者数,直接阳性数,复测数,阴性数,直接阳性灵敏度,直接阳性特异度,直接阳性PPV,三分流覆盖灵敏度,复测率,阴性漏诊数
0,p30_r15,37,11,10,12,15,0.45454545454545453,0.8076923076923077,0.5,0.7272727272727273,0.32432432432432434,3
1,p30_r15,36,11,10,22,4,0.45454545454545453,0.8,0.5,1.0,0.6111111111111112,0
2,p30_r15,37,11,13,14,10,0.7272727272727273,0.8076923076923077,0.6153846153846154,0.9090909090909091,0.3783783783783784,1
3,p30_r15,37,11,7,23,7,0.36363636363636365,0.8846153846153846,0.5714285714285714,1.0,0.6216216216216216,0
