方案,重复测试折数,重复折安全率,重复4_4比例,重复3折及以上比例,最低审计概率均值,重复折最低审计概率P05,最差重复折,Bootstrap次数,Bootstrap安全率,Bootstrap最低审计概率P05,Bootstrap最低审计概率P50,Bootstrap最低审计概率P95,患者平均孕周,总体预测达标概率,重复审计稳定
15/18,400,0.83,0.41,0.92,0.897435407651557,0.8845951399213788,0.8681771413107718,5000,0.9812,0.8924843104370215,0.9000929041583111,0.9066553032807954,15.584269662921349,0.9102407762255439,False
16/18,400,0.94,0.77,0.99,0.9045331536595812,0.8891805595672863,0.8748752795439407,5000,0.9976,0.8966355492818238,0.9055185951795179,0.9144335202329709,16.38951310861423,0.9244240560576045,True
18/22,400,1.0,1.0,1.0,0.9480911910635429,0.9403682242289967,0.9283021745207165,5000,1.0,0.9450034859110161,0.94967561542338,0.9535893788137624,18.779026217228463,0.9554624289565381,True
