repeat,fold,方案,测试人数,最低审计概率,安全通过,审计切点
0,0,15/18,67,0.889873583099652,False,30.260929|31.736002|33.746960
0,0,16/18,67,0.8944485834091669,True,30.260929|31.736002|33.746960
0,0,18/22,67,0.9465162263551803,True,30.260929|31.736002|33.746960
0,1,15/18,66,0.9074220897752863,True,30.129913|31.941009|33.799734
0,1,16/18,66,0.9111209000461177,True,30.129913|31.941009|33.799734
0,1,18/22,66,0.9536355521293257,True,30.129913|31.941009|33.799734
0,2,15/18,67,0.8952017105662875,True,30.041772|31.351281|33.824899
0,2,16/18,67,0.9028763046850343,True,30.041772|31.351281|33.824899
0,2,18/22,67,0.9440265343463325,True,30.041772|31.351281|33.824899
0,3,15/18,67,0.901455636211754,True,30.117121|31.729721|33.746960
0,3,16/18,67,0.9116442617561596,True,30.117121|31.729721|33.746960
0,3,18/22,67,0.9483243663164165,True,30.117121|31.729721|33.746960
1,0,15/18,67,0.900068212069402,True,30.260929|31.633451|33.727725
1,0,16/18,67,0.9140374733042836,True,30.260929|31.633451|33.727725
1,0,18/22,67,0.9480240899644855,True,30.260929|31.633451|33.727725
1,1,15/18,66,0.8961949332601935,True,30.119402|31.748841|33.777778
1,1,16/18,66,0.899147863779677,True,30.119402|31.748841|33.777778
1,1,18/22,66,0.9476261614552364,True,30.119402|31.748841|33.777778
1,2,15/18,67,0.9010645187563937,True,30.001219|31.675613|33.824899
1,2,16/18,67,0.9158730906072221,True,30.001219|31.675613|33.824899
1,2,18/22,67,0.948900997427976,True,30.001219|31.675613|33.824899
1,3,15/18,67,0.8831480861898516,False,30.301570|31.736002|33.769893
1,3,16/18,67,0.8891204459659094,False,30.301570|31.736002|33.769893
1,3,18/22,67,0.9423418568989611,True,30.301570|31.736002|33.769893
2,0,15/18,67,0.9003766548269349,True,30.117121|31.807165|33.746960
2,0,16/18,67,0.9039699922263278,True,30.117121|31.807165|33.746960
2,0,18/22,67,0.9509508978192361,True,30.117121|31.807165|33.746960
2,1,15/18,67,0.9018257424263633,True,30.153098|31.743951|33.783267
2,1,16/18,67,0.9060869578461753,True,30.153098|31.743951|33.783267
2,1,18/22,67,0.9517250212295414,True,30.153098|31.743951|33.783267
2,2,15/18,67,0.9051871021602758,True,30.100919|31.633451|33.783267
2,2,16/18,67,0.9097923878926393,True,30.100919|31.633451|33.783267
2,2,18/22,67,0.9508872462325646,True,30.100919|31.633451|33.783267
2,3,15/18,66,0.8931482976097398,True,30.160826|31.625352|33.767265
2,3,16/18,66,0.8988642565817697,True,30.160826|31.625352|33.767265
2,3,18/22,66,0.9469679025664225,True,30.160826|31.625352|33.767265
3,0,15/18,66,0.8989163800096037,True,30.301904|31.739062|33.777778
3,0,16/18,66,0.9040023931671224,True,30.301904|31.739062|33.777778
3,0,18/22,66,0.9508030749333272,True,30.301904|31.739062|33.777778
3,1,15/18,67,0.9051391700061107,True,30.127285|31.405972|33.671277
3,1,16/18,67,0.9106917731587234,True,30.127285|31.405972|33.671277
3,1,18/22,67,0.9502869191143675,True,30.127285|31.405972|33.671277
3,2,15/18,67,0.8996690851657713,True,30.041772|31.625814|33.680106
3,2,16/18,67,0.9058606682316785,True,30.041772|31.625814|33.680106
3,2,18/22,67,0.9498014612697316,True,30.041772|31.625814|33.680106
3,3,15/18,67,0.8949840527688949,True,30.153098|31.807532|33.994467
3,3,16/18,67,0.8949840527688949,True,30.153098|31.807532|33.994467
3,3,18/22,67,0.9473438974579107,True,30.153098|31.807532|33.994467
4,0,15/18,67,0.9019357804441338,True,30.296942|31.751181|33.921390
4,0,16/18,67,0.9113594247814556,True,30.296942|31.751181|33.921390
4,0,18/22,67,0.9489112018210425,True,30.296942|31.751181|33.921390
4,1,15/18,67,0.8915981193936077,True,30.011906|31.622592|33.538981
4,1,16/18,67,0.900189595566063,True,30.011906|31.622592|33.538981
4,1,18/22,67,0.9441118054189104,True,30.011906|31.622592|33.538981
4,2,15/18,67,0.9044402589710011,True,30.063956|31.625814|33.727725
4,2,16/18,67,0.9198413463319606,True,30.063956|31.625814|33.727725
4,2,18/22,67,0.9497155934293678,True,30.063956|31.625814|33.727725
4,3,15/18,66,0.8862043630369651,False,30.343695|31.748841|33.900394
4,3,16/18,66,0.8886404363477626,False,30.343695|31.748841|33.900394
4,3,18/22,66,0.9445562468421729,True,30.343695|31.748841|33.900394
5,0,15/18,67,0.8993849978908943,True,30.063956|31.751181|33.769893
5,0,16/18,67,0.9046913532284152,True,30.063956|31.751181|33.769893
5,0,18/22,67,0.9469184775841571,True,30.063956|31.751181|33.769893
5,1,15/18,67,0.8837724867683817,False,30.301570|31.640625|33.727725
5,1,16/18,67,0.8891837234410429,False,30.301570|31.640625|33.727725
5,1,18/22,67,0.9398918391861861,True,30.301570|31.640625|33.727725
5,2,15/18,67,0.9095338198084295,True,30.016377|31.568438|33.769893
5,2,16/18,67,0.9198722875827958,True,30.016377|31.568438|33.769893
5,2,18/22,67,0.9535336832191377,True,30.016377|31.568438|33.769893
5,3,15/18,66,0.8997789156892249,True,30.129913|31.748841|33.900394
5,3,16/18,66,0.9067249367581866,True,30.129913|31.748841|33.900394
5,3,18/22,66,0.9476149415671344,True,30.129913|31.748841|33.900394
6,0,15/18,67,0.8940177806422365,True,30.153098|31.743951|33.824899
6,0,16/18,67,0.9143385808131272,True,30.153098|31.743951|33.824899
6,0,18/22,67,0.9449715429550538,True,30.153098|31.743951|33.824899
6,1,15/18,67,0.8955189211244051,True,30.375102|31.807532|33.921390
6,1,16/18,67,0.8973128785333518,True,30.375102|31.807532|33.921390
6,1,18/22,67,0.9467429834607669,True,30.375102|31.807532|33.921390
6,2,15/18,67,0.8879043463659434,False,29.931512|31.405972|33.645866
6,2,16/18,67,0.8947363721047304,True,29.931512|31.405972|33.645866
6,2,18/22,67,0.9414934181622107,True,29.931512|31.405972|33.645866
6,3,15/18,66,0.8947453398260063,True,30.160826|31.753520|33.740191
6,3,16/18,66,0.9009259178511557,True,30.160826|31.753520|33.740191
6,3,18/22,66,0.9501020985296754,True,30.160826|31.753520|33.740191
7,0,15/18,67,0.8970479602426715,True,30.127285|31.860067|33.734494
7,0,16/18,67,0.9098285457442113,True,30.127285|31.860067|33.734494
7,0,18/22,67,0.9469820492915116,True,30.127285|31.860067|33.734494
7,1,15/18,67,0.9006338988288822,True,30.260929|31.740891|33.808432
7,1,16/18,67,0.9038363443435096,True,30.260929|31.740891|33.808432
7,1,18/22,67,0.9540168784341889,True,30.260929|31.740891|33.808432
7,2,15/18,67,0.8944790013134254,True,30.254747|31.633451|33.727725
7,2,16/18,67,0.899065095181907,True,30.254747|31.633451|33.727725
7,2,18/22,67,0.9492115769635108,True,30.254747|31.633451|33.727725
7,3,15/18,66,0.899073105272791,True,29.935721|31.626276|33.900394
7,3,16/18,66,0.9013169310117565,True,29.935721|31.626276|33.900394
7,3,18/22,66,0.9485846990948595,True,29.935721|31.626276|33.900394
8,0,15/18,67,0.8978826497907623,True,30.179373|31.640625|33.783267
8,0,16/18,67,0.914777612995769,True,30.179373|31.640625|33.783267
8,0,18/22,67,0.9456206192378631,True,30.179373|31.640625|33.783267
8,1,15/18,67,0.8916170192506042,True,30.065446|31.675613|33.684261
8,1,16/18,67,0.8974087031527802,True,30.065446|31.675613|33.684261
8,1,18/22,67,0.9449099533544564,True,30.065446|31.675613|33.684261
8,2,15/18,66,0.9050361396152151,True,30.160826|31.732941|33.799734
8,2,16/18,66,0.9111251280290678,True,30.160826|31.732941|33.799734
8,2,18/22,66,0.9504896767658095,True,30.160826|31.732941|33.799734
8,3,15/18,67,0.897382623004531,True,30.117121|31.736002|33.769893
8,3,16/18,67,0.9013811499655204,True,30.117121|31.736002|33.769893
8,3,18/22,67,0.9494431357294524,True,30.117121|31.736002|33.769893
9,0,15/18,66,0.9008253757996049,True,30.119402|31.739062|33.900394
9,0,16/18,66,0.9018127657566727,True,30.119402|31.739062|33.900394
9,0,18/22,66,0.9518920401518532,True,30.119402|31.739062|33.900394
9,1,15/18,67,0.9073749896385026,True,30.065446|31.622592|33.680106
9,1,16/18,67,0.9130817449289064,True,30.065446|31.622592|33.680106
9,1,18/22,67,0.951114188379147,True,30.065446|31.622592|33.680106
9,2,15/18,67,0.8876245655663126,False,30.065446|31.675613|33.769893
9,2,16/18,67,0.8935515118665468,True,30.065446|31.675613|33.769893
9,2,18/22,67,0.9388799280122508,True,30.065446|31.675613|33.769893
9,3,15/18,67,0.9045800522319386,True,30.296942|31.835571|33.769893
9,3,16/18,67,0.9117233960467395,True,30.296942|31.835571|33.769893
9,3,18/22,67,0.9508592322075801,True,30.296942|31.835571|33.769893
10,0,15/18,66,0.8948409137494089,True,29.918887|31.626276|33.723570
10,0,16/18,66,0.9011627668144119,True,29.918887|31.626276|33.723570
10,0,18/22,66,0.9478813751143218,True,29.918887|31.626276|33.723570
10,1,15/18,67,0.9063018057919485,True,30.356598|31.766323|33.824899
10,1,16/18,67,0.9125225670172212,True,30.356598|31.766323|33.824899
10,1,18/22,67,0.9499477695445037,True,30.356598|31.766323|33.824899
10,2,15/18,67,0.8977654062031585,True,30.100919|31.565678|33.664509
10,2,16/18,67,0.9031429103930709,True,30.100919|31.565678|33.664509
10,2,18/22,67,0.9476210338110859,True,30.100919|31.565678|33.664509
10,3,15/18,67,0.9004479659684849,True,30.333247|31.736002|33.921390
10,3,16/18,67,0.9113588793505051,True,30.333247|31.736002|33.921390
10,3,18/22,67,0.9482904805103468,True,30.333247|31.736002|33.921390
11,0,15/18,67,0.8977948495754019,True,30.301570|31.743951|33.769893
11,0,16/18,67,0.9164563961610243,True,30.301570|31.743951|33.769893
11,0,18/22,67,0.9448496997944833,True,30.301570|31.743951|33.769893
11,1,15/18,67,0.9034489196316688,True,30.100919|31.721771|33.727725
11,1,16/18,67,0.9197827486031703,True,30.100919|31.721771|33.727725
11,1,18/22,67,0.9506638396620372,True,30.100919|31.721771|33.727725
11,2,15/18,67,0.8891867802890111,False,30.179373|31.751181|33.824899
11,2,16/18,67,0.8915436854076187,True,30.179373|31.751181|33.824899
11,2,18/22,67,0.944840717621693,True,30.179373|31.751181|33.824899
11,3,15/18,66,0.8722434931346744,False,30.037301|31.511524|33.984375
11,3,16/18,66,0.8748752795439407,False,30.037301|31.511524|33.984375
11,3,18/22,66,0.9357729285994234,True,30.037301|31.511524|33.984375
12,0,15/18,66,0.8972646753611856,True,30.160826|31.625352|33.900394
12,0,16/18,66,0.8991987852585496,True,30.160826|31.625352|33.900394
12,0,18/22,66,0.9502364513145819,True,30.160826|31.625352|33.900394
12,1,15/18,67,0.8990584391499858,True,30.127285|31.675613|33.691029
12,1,16/18,67,0.9145381927051387,True,30.127285|31.675613|33.691029
12,1,18/22,67,0.9472630222386752,True,30.127285|31.675613|33.691029
12,2,15/18,67,0.8978237038661204,True,30.260929|31.888473|33.824899
12,2,16/18,67,0.9004025947908455,True,30.260929|31.888473|33.824899
12,2,18/22,67,0.9487518677544782,True,30.260929|31.888473|33.824899
12,3,15/18,67,0.8978984646414251,True,30.033739|31.622592|33.727725
12,3,16/18,67,0.9030369244763488,True,30.033739|31.622592|33.727725
12,3,18/22,67,0.9509789824734369,True,30.033739|31.622592|33.727725
13,0,15/18,67,0.8999388386872745,True,30.100919|31.736002|33.727725
13,0,16/18,67,0.9057810514334762,True,30.100919|31.736002|33.727725
13,0,18/22,67,0.9489767682010211,True,30.100919|31.736002|33.727725
13,1,15/18,67,0.875286611668656,False,30.093525|31.633451|33.783267
