特征,平均损失增加,折间标准差,正贡献折数
身高,0.0029138159324201274,0.0030580951057465155,3
体重,0.002853086605278221,0.004292970580657174,4
孕妇BMI,0.0014254330412724336,0.0029226154648382408,3
孕次,0.001063445990416162,0.002046574945362796,2
IVF,-2.7755575615628914e-17,1.0629576194313574e-16,1
产次,-0.0003914721899382356,0.0007829443798763233,0
年龄,-0.001301394428151581,0.0010928682309803899,0
