组数,外层测试平均孕周,外层测试孕周标准差,均值安全折数,保守下限安全折数,平均最低审计均值,平均最低审计下限,外层测试孕周标准误,最大保守安全折数,最大均值安全折数,进入一标准误范围,外层选择
1,15.75,0.49999999999999983,0,0,0.8696389555985456,0.8510057084335341,0.24999999999999992,True,False,False,False
2,15.514586160108548,0.3386216011089296,0,0,0.8781730934411519,0.8573171552650038,0.1693108005544648,True,False,False,False
3,15.5,0.36202363506918167,2,0,0.8893754834534732,0.8708677418773528,0.18101181753459084,True,True,True,True
4,15.533129805517865,0.3239327119095224,2,0,0.8925017441276644,0.8775004753268049,0.1619663559547612,True,True,True,False
