最小组人数,固定切点,完成外层折数,外层平均孕周,外层孕周标准差,均值安全折数,保守下限安全折数,平均最低审计均值,平均最低审计下限,典型时点
20,29.25,4,19.353573043871553,0.5164600969459421,4,4,0.9331703732528008,0.9210129744333464,17|20
20,29.5,4,19.31592039800995,0.5238548466879966,4,4,0.9331703732528008,0.9210129744333464,17|20
20,29.75,4,19.300881953867027,0.5185381225046481,4,4,0.9331703732528008,0.9210129744333464,17|20
20,30.0,4,19.143600180913612,0.5385574869339735,4,4,0.9331703732528008,0.9210129744333464,17|20
20,30.25,4,19.106286748077792,0.5211391635232177,4,4,0.9331703732528008,0.9210129744333464,17|20
20,30.5,4,19.03132066938037,0.5221916904055538,4,4,0.9331703732528008,0.9210129744333464,17|20
20,30.75,4,19.111770691994572,0.33705754559562046,4,4,0.9370943076004473,0.9253721083845944,17|20
20,31.0,4,19.573948439620082,0.5625228016798508,4,4,0.944712611302335,0.9340522184016846,18|21
20,31.25,4,19.364314789687924,0.5751191211193774,4,4,0.944712611302335,0.9340522184016846,17|21
20,31.5,4,19.319369063772047,0.6012787624701003,4,4,0.944712611302335,0.9340522184016846,17|21
20,31.75,4,19.345318860244234,0.5874427939227665,4,4,0.944712611302335,0.9340522184016846,18|21
20,32.0,4,19.296641791044777,0.5826115467875134,4,4,0.944712611302335,0.9340522184016846,18|21
20,32.25,4,19.236601085481684,0.6024172169822571,4,4,0.944712611302335,0.9340522184016846,18|21
20,32.5,4,19.271483491632743,0.4350944789289953,4,4,0.947435666515369,0.9353066826900731,18|21
20,32.75,4,19.344470827679782,0.3192777922778472,4,4,0.947926009172347,0.937655829741326,18|21
20,33.0,4,19.389077340569877,0.410532976116561,4,4,0.9524847471115468,0.9426430936502632,18|22
20,33.25,4,19.39246947082768,0.4656136728179671,4,4,0.9530883855075355,0.9419926983202173,18|22
20,33.5,4,19.294945725915877,0.4570535631939441,4,4,0.9498806214176958,0.9374867228147792,18|22
20,33.75,4,19.238975576662142,0.4353861843602931,4,4,0.9491190557477617,0.9367884435781544,18|22
20,34.0,4,19.322139303482587,0.3021440999788846,4,4,0.9501527615298822,0.9386831007004335,18|23
20,34.25,4,19.250791497060153,0.37180030984517165,4,4,0.949429217107145,0.9382125789917306,18|23
20,34.5,4,19.15682948891904,0.3871483306105852,4,4,0.9479220733693006,0.9353859934549138,18|23
20,34.75,4,19.074061510628674,0.472026000080592,4,4,0.9457492374184648,0.9332185551289229,18|23
20,35.0,4,19.074061510628674,0.5690308814721147,4,4,0.9444583425080013,0.9323561586693291,18|23
20,35.25,4,19.032790592492084,0.5490480421390278,4,4,0.9435976441443129,0.9313944154701215,18|23
20,35.5,4,19.059362279511532,0.4794603830007777,4,4,0.9441632789994427,0.9318298281344086,18|24
20,35.75,3,19.383084577114428,0.08996587721405575,3,3,0.9479579991921714,0.938357089521502,19|23
20,36.0,2,19.26119402985075,0.05276916277511517,2,2,0.9371911563313777,0.9272810128599737,19|24
20,36.25,1,19.223880597014926,,1,1,0.9311216061217555,0.9198636870245219,19|24
25,29.25,2,19.41044776119403,0.45381479986598994,2,2,0.9348905313773147,0.9183954191508443,17|20
25,29.5,4,19.31592039800995,0.5238548466879966,4,4,0.9331703732528008,0.9210129744333464,17|20
25,29.75,4,19.300881953867027,0.5185381225046481,4,4,0.9331703732528008,0.9210129744333464,17|20
25,30.0,4,19.143600180913612,0.5385574869339735,4,4,0.9331703732528008,0.9210129744333464,17|20
25,30.25,4,19.106286748077792,0.5211391635232177,4,4,0.9331703732528008,0.9210129744333464,17|20
25,30.5,4,19.03132066938037,0.5221916904055538,4,4,0.9331703732528008,0.9210129744333464,17|20
25,30.75,4,19.111770691994572,0.33705754559562046,4,4,0.9370943076004473,0.9253721083845944,17|20
25,31.0,4,19.573948439620082,0.5625228016798508,4,4,0.944712611302335,0.9340522184016846,18|21
25,31.25,4,19.364314789687924,0.5751191211193774,4,4,0.944712611302335,0.9340522184016846,17|21
25,31.5,4,19.319369063772047,0.6012787624701003,4,4,0.944712611302335,0.9340522184016846,17|21
25,31.75,4,19.345318860244234,0.5874427939227665,4,4,0.944712611302335,0.9340522184016846,18|21
25,32.0,4,19.296641791044777,0.5826115467875134,4,4,0.944712611302335,0.9340522184016846,18|21
25,32.25,4,19.236601085481684,0.6024172169822571,4,4,0.944712611302335,0.9340522184016846,18|21
25,32.5,4,19.271483491632743,0.4350944789289953,4,4,0.947435666515369,0.9353066826900731,18|21
25,32.75,4,19.344470827679782,0.3192777922778472,4,4,0.947926009172347,0.937655829741326,18|21
25,33.0,4,19.389077340569877,0.410532976116561,4,4,0.9524847471115468,0.9426430936502632,18|22
25,33.25,4,19.39246947082768,0.4656136728179671,4,4,0.9530883855075355,0.9419926983202173,18|22
25,33.5,4,19.294945725915877,0.4570535631939441,4,4,0.9498806214176958,0.9374867228147792,18|22
