方案,可靠性,BMI范围,样本数,样本占比,模型推荐孕周,整周执行建议,证据定位
主推荐,90%,BMI<34.357,215,80.5%,14.429（14周+3天）,第15周,最佳全局候选
主推荐,90%,BMI>=34.357,52,19.5%,18.000,第18周,最佳全局候选
偏早敏感性,85%,BMI<34.505,219,82.0%,12.571,第13周,不作为主推荐
偏早敏感性,85%,BMI>=34.505,48,18.0%,15.714,第16周,不作为主推荐
保守敏感性,95%,BMI<34.315,214,80.1%,17.429,第18周,安全偏好较高
保守敏感性,95%,BMI>=34.315,53,19.9%,21.714,第22周,安全偏好较高
