组数,外层测试平均孕周,外层测试孕周标准差,外层测试安全折数,开发安全折数,平均测试最低审计概率,外层测试孕周标准误,达到最大安全折数,落入最佳一标准误,最终选择
1,15.142857142857125,0.30860669992418494,0,0,0.8544638256818847,0.15430334996209247,False,False,False
2,15.059281514505376,0.37043847570432864,2,4,0.8877897970751519,0.18521923785216432,True,True,True
3,15.062156748723895,0.3647307215780458,2,4,0.8895582757625244,0.1823653607890229,True,True,False
4,15.052537636492843,0.369103242208946,2,4,0.8857745297118317,0.184551621104473,True,True,False
