,系数,标准误,p值
Intercept,-2.6152028861073804,0.029315205722542887,0.0
week_c,0.16675709147418002,0.011430573251159986,3.315013351428992e-48
week_c2,0.04276079010202063,0.009432384863603099,5.80412683718418e-06
bmi_c,-0.07191396055746478,0.023789790177375026,0.00250371783174877
week_c:bmi_c,0.00843099538089915,0.008769946328973786,0.3363757869418106
