方案,Bootstrap次数,均值安全率,保守下限安全率,最低审计均值P05,最低审计下限P05,平均检测孕周
v2数据切点35.33,5000,1.0,1.0,0.940078543072078,0.9335260926733009,18.67449063670412
v2整数切点35_开发18_23,5000,1.0,1.0,0.9420327771091899,0.9353962833538331,18.74886516853933
v2整数切点35_部署18_22,5000,1.0,1.0,0.9371767062532198,0.9306168421192959,18.599092134831462
问题2_16_18,5000,0.9984,0.3198,0.8969138758216016,0.8887882370030213,16.38878651685393
问题2_18_22,5000,1.0,1.0,0.944975609303537,0.939475167711112,18.777573033707867
