outer_fold,组数,切点,推荐孕周,开发平均孕周,测试平均检测孕周,测试总体达标概率,测试审计层最低均值,测试审计层最低保守下限,测试均值安全,测试保守下限安全
0,1,,19,19.0,19.0,0.9598200776794458,0.9128021812753428,0.8937957743578857,True,False
1,2,35.170717,19|23,19.6,19.47761194029851,0.957322582739457,0.9523119728831576,0.9452047330315896,True,True
2,1,,19,19.0,19.0,0.958278484942002,0.9434428002253892,0.9274115389481246,True,True
3,2,32.454460,17|20,18.2089552238806,18.318181818181817,0.946908603549188,0.9386090698577576,0.9282773246200096,True,True
