outer_fold,低BMI周,高BMI周,测试人数,低BMI人数,高BMI人数,平均孕周,总体达标概率,最低审计概率,最低审计层,审计层1,审计层2,审计层3,审计层4,安全通过,审计切点
0,15,18,67,57,10,15.447761194029852,0.91708356125807,0.8910181689255531,4,0.9337288930958274,0.9260672222193808,0.9115569167349297,0.8910181689255531,True,30.153098|31.686783|34.040136
1,15,18,67,57,10,15.447761194029852,0.9046769229382635,0.9000324660202936,3,0.9111728089253169,0.9052352124685775,0.9000324660202936,0.9025975502124286,True,30.127285|31.724831|33.994467
2,15,18,67,54,13,15.582089552238806,0.9190644714729069,0.9122745418383645,1,0.9122745418383645,0.9209634294313022,0.9277593624323195,0.9177658169564527,True,30.065446|31.721771|33.538981
3,15,18,66,47,19,15.863636363636363,0.8999850791269866,0.8670286279140509,3,0.9184164211862218,0.9150579128972033,0.8670286279140509,0.8922935852914224,False,30.129913|31.640625|33.516868
