record,material,angle_deg,thickness_um,bootstrap_lo,bootstrap_hi,bootstrap_n,cv_nrmse_h1,cv_nrmse_h3,cv_gain_pct
附件1(10°),SiC,10.0,7.482232180398159,7.405689244998358,7.648097510285933,400,0.24566090687001457,0.26119184493938713,-6.3221040202340255
附件2(15°),SiC,15.0,7.480400215587533,7.291000625410121,7.569471490614257,400,0.3080205973955997,0.32096165041110686,-4.20135962494955
附件3(10°),Si,10.0,3.4762727012465406,3.4189563491508386,3.5570638002363544,400,0.6656886741427034,0.7295014392453295,-9.585977286575648
附件4(15°),Si,15.0,3.474687728584043,3.3536402507111234,3.7948409048354605,400,0.600888250317903,0.6455938026922843,-7.439911223214887
