材料,拟合波段下限(cm-1),拟合波段上限(cm-1),报告厚度(um),频段敏感性半极差(um),三谐波-单谐波BIC,二次谐波/基频_10deg,二次谐波/基频_15deg
SiC,1500.0,4000.0,7.481316197992847,0.0080260530990377,-896.2719056018395,0.042355503198056456,0.0605304672098795
Si,1000.0,4000.0,3.475480214915292,0.04462287731445391,-2978.4314477875887,0.10376113732928795,0.07199700326001572
