outer_fold,test_women,inner_selected_rounds,outer_test_aft_nloglik,distribution,distribution_scale
0,67,150,0.7152144045926118,extreme,0.73270055217593
1,67,64,0.7168487159728877,extreme,0.7811499597887887
2,67,853,0.706508205703982,extreme,0.7778528534376639
3,66,113,0.7026923717464236,extreme,0.5781414724309032
