重复,多因素减仅BMI_区间负对数评分
1,0.012511616445485086
2,-0.020358642264987546
3,0.015902978609186158
4,0.0005323971647687643
5,0.02315775115442669
6,0.0034242633466757075
7,-0.001049913551044686
8,0.00019111165181968722
9,0.022389550446132188
10,-0.016954563377298164
11,0.006815606082240858
12,0.01622231945833225
13,-0.002957807662082104
14,0.0029548510733566563
15,-0.012653648983828918
16,-0.008217375628058547
17,-0.006802419723341986
18,-0.004965997998062049
19,-0.005079718633780399
20,-0.01639326571873128
21,0.032432812791333164
22,-0.01700506067852534
23,-0.0020716567466420497
24,0.003227838089308843
25,0.00728450661977163
26,-0.0014903456255524442
27,-0.005441297001843301
28,0.01184295071985392
29,-0.030654413553470455
30,0.0014985508964459843
31,0.004616341194845075
32,0.015291416683801034
33,0.0037743328199350253
34,0.004631384756268316
35,-0.019110639065348163
36,-0.001137014774729776
37,0.002586734393651061
38,0.007335715072305678
39,0.021422614289603355
40,0.0026863395062497546
41,0.01484805126278452
42,-0.009633301127286656
43,0.017070661489439275
44,0.011509805335883763
45,0.015385772949519365
46,0.0011249319773481764
47,0.00881217580049316
48,0.013616993557910509
49,-0.012434988953674276
50,0.00780499581049681
51,0.024209350256534423
52,-0.021410243556659513
53,-0.009873609163199437
54,0.0058755730573812
55,0.029163449069520116
56,0.0014000583241612992
57,0.00853871757350446
58,0.008129980325126187
59,0.012621084056182664
60,-0.004994998682898574
61,0.011664561675718324
62,0.006421071800770302
63,0.012430986527562686
64,0.013511854833180499
65,0.012175969455100298
66,0.0036752841232155454
67,0.006446246716977396
68,0.0096296242606488
69,-0.012728997079974763
70,-0.013755789551826535
71,-0.00987381142053747
72,-0.013682967887191174
73,-0.00024284505097403196
74,0.004606076846067217
75,-0.014461721198778713
76,0.016025412835930442
77,-0.0002298534002484507
78,-0.016122508641725177
79,0.016602992370296187
80,-0.0006242706000193129
81,3.6404747156333967e-05
82,0.0008886947388225706
83,0.013518651365865234
84,0.011018196330716445
85,-0.005569196353064123
86,0.0010116205209046187
