outer_fold,label,source,threshold,sensitivity,specificity,f2
0,T13,xgb_inner_oof,0.015775667414906526,1.0,0.0,0.17142857142857143
0,T13,xgb_inner_oof,0.015798450172049994,1.0,0.0022988505747126436,0.1717557251908397
0,T13,xgb_inner_oof,0.01591404342908893,1.0,0.006896551724137931,0.1724137931034483
0,T13,xgb_inner_oof,0.016177135984304307,1.0,0.011494252873563218,0.17307692307692307
0,T13,xgb_inner_oof,0.01648888079395886,1.0,0.016091954022988506,0.17374517374517376
0,T13,xgb_inner_oof,0.016630818232940332,1.0,0.020689655172413793,0.1744186046511628
0,T13,xgb_inner_oof,0.016739185354056423,0.9444444444444444,0.020689655172413793,0.1650485436893204
0,T13,xgb_inner_oof,0.016852025563116158,0.9444444444444444,0.02528735632183908,0.16569200779727095
0,T13,xgb_inner_oof,0.016943632216432344,0.9444444444444444,0.029885057471264367,0.16634050880626222
0,T13,xgb_inner_oof,0.016978063002333177,0.8888888888888888,0.03218390804597701,0.15717092337917485
0,T13,xgb_inner_oof,0.017010655776002637,0.8888888888888888,0.0367816091954023,0.15779092702169625
0,T13,xgb_inner_oof,0.01712492499883474,0.8888888888888888,0.041379310344827586,0.15841584158415842
0,T13,xgb_inner_oof,0.01721003073610737,0.8888888888888888,0.04367816091954023,0.15873015873015872
0,T13,xgb_inner_oof,0.01734784046665748,0.8888888888888888,0.04827586206896552,0.1593625498007968
0,T13,xgb_inner_oof,0.017526582065669614,0.8888888888888888,0.052873563218390804,0.16
0,T13,xgb_inner_oof,0.017774688963411597,0.8333333333333334,0.05517241379310345,0.15060240963855423
0,T13,xgb_inner_oof,0.018075351176043038,0.8333333333333334,0.059770114942528735,0.15120967741935484
0,T13,xgb_inner_oof,0.018191227570516444,0.8333333333333334,0.06206896551724138,0.15151515151515152
0,T13,xgb_inner_oof,0.01832633466952507,0.8333333333333334,0.06666666666666667,0.15212981744421908
0,T13,xgb_inner_oof,0.018636522675766744,0.8333333333333334,0.07126436781609195,0.15274949083503056
0,T13,xgb_inner_oof,0.01891155084669503,0.8333333333333334,0.07586206896551724,0.15337423312883436
0,T13,xgb_inner_oof,0.018957262525050075,0.8333333333333334,0.08045977011494253,0.1540041067761807
0,T13,xgb_inner_oof,0.019298942498902627,0.8333333333333334,0.08505747126436781,0.15463917525773196
0,T13,xgb_inner_oof,0.01944902350925249,0.8333333333333334,0.08735632183908046,0.15495867768595042
0,T13,xgb_inner_oof,0.019688304486142685,0.8333333333333334,0.09195402298850575,0.15560165975103735
0,T13,xgb_inner_oof,0.01977173123783595,0.8333333333333334,0.09655172413793103,0.15625
0,T13,xgb_inner_oof,0.019827673970750852,0.8333333333333334,0.10114942528735632,0.15690376569037656
0,T13,xgb_inner_oof,0.01988982394302509,0.8333333333333334,0.10574712643678161,0.15756302521008403
0,T13,xgb_inner_oof,0.019933377949666098,0.8333333333333334,0.10804597701149425,0.15789473684210525
0,T13,xgb_inner_oof,0.020050795461928693,0.8333333333333334,0.11264367816091954,0.15856236786469344
0,T13,xgb_inner_oof,0.020267006305705257,0.8333333333333334,0.11724137931034483,0.1592356687898089
0,T13,xgb_inner_oof,0.02035572196587543,0.8333333333333334,0.12183908045977011,0.15991471215351813
0,T13,xgb_inner_oof,0.02050184976151714,0.8333333333333334,0.12643678160919541,0.16059957173447537
0,T13,xgb_inner_oof,0.02067019583699429,0.8333333333333334,0.1310344827586207,0.16129032258064516
0,T13,xgb_inner_oof,0.0206873248053803,0.8333333333333334,0.13333333333333333,0.16163793103448276
0,T13,xgb_inner_oof,0.020751364829430956,0.8333333333333334,0.13793103448275862,0.16233766233766234
0,T13,xgb_inner_oof,0.02090457053946878,0.8333333333333334,0.1425287356321839,0.16304347826086957
0,T13,xgb_inner_oof,0.020929042002986366,0.8333333333333334,0.1471264367816092,0.16375545851528384
0,T13,xgb_inner_oof,0.020950707949102518,0.8333333333333334,0.15172413793103448,0.16447368421052633
0,T13,xgb_inner_oof,0.021001606894097545,0.8333333333333334,0.15402298850574714,0.16483516483516483
0,T13,xgb_inner_oof,0.021085409020888218,0.8333333333333334,0.15862068965517243,0.16556291390728478
0,T13,xgb_inner_oof,0.02120500997830046,0.8333333333333334,0.1632183908045977,0.1662971175166297
0,T13,xgb_inner_oof,0.021291065984408882,0.8333333333333334,0.167816091954023,0.16703786191536749
0,T13,xgb_inner_oof,0.021514025545729794,0.8333333333333334,0.1724137931034483,0.16778523489932887
0,T13,xgb_inner_oof,0.02158641573025566,0.8333333333333334,0.17701149425287357,0.16853932584269662
0,T13,xgb_inner_oof,0.02160871557338097,0.8333333333333334,0.1793103448275862,0.16891891891891891
0,T13,xgb_inner_oof,0.02166271598253029,0.8333333333333334,0.1839080459770115,0.16968325791855204
0,T13,xgb_inner_oof,0.021760744046615373,0.8333333333333334,0.18850574712643678,0.17045454545454544
0,T13,xgb_inner_oof,0.021923801039786844,0.8333333333333334,0.19310344827586207,0.17123287671232876
0,T13,xgb_inner_oof,0.02205729041614762,0.8333333333333334,0.19770114942528735,0.1720183486238532
0,T13,xgb_inner_oof,0.02206869699818357,0.8333333333333334,0.2,0.1724137931034483
0,T13,xgb_inner_oof,0.0221044145071772,0.8333333333333334,0.2045977011494253,0.17321016166281755
0,T13,xgb_inner_oof,0.022362906674963177,0.8333333333333334,0.20919540229885059,0.1740139211136891
0,T13,xgb_inner_oof,0.022454617841858135,0.8333333333333334,0.21379310344827587,0.17482517482517482
0,T13,xgb_inner_oof,0.02260961875722753,0.8333333333333334,0.21839080459770116,0.1756440281030445
0,T13,xgb_inner_oof,0.02300421411204632,0.8333333333333334,0.22298850574712645,0.17647058823529413
0,T13,xgb_inner_oof,0.023327906136502777,0.8333333333333334,0.22528735632183908,0.17688679245283018
0,T13,xgb_inner_oof,0.023532737308639008,0.8333333333333334,0.22988505747126436,0.17772511848341233
0,T13,xgb_inner_oof,0.023625467095865813,0.8333333333333334,0.23448275862068965,0.17857142857142858
0,T13,xgb_inner_oof,0.023937153032009224,0.8333333333333334,0.23908045977011494,0.17942583732057416
0,T13,xgb_inner_oof,0.024316120998765095,0.8333333333333334,0.24367816091954023,0.18028846153846154
0,T13,xgb_inner_oof,0.02445753937188972,0.8333333333333334,0.24597701149425288,0.18072289156626506
0,T13,xgb_inner_oof,0.024571498344464496,0.8333333333333334,0.25057471264367814,0.18159806295399517
0,T13,xgb_inner_oof,0.024652540930741124,0.8333333333333334,0.25517241379310346,0.18248175182481752
0,T13,xgb_inner_oof,0.024795121473857776,0.8333333333333334,0.2597701149425287,0.18337408312958436
0,T13,xgb_inner_oof,0.024914067265266515,0.8333333333333334,0.26436781609195403,0.18427518427518427
0,T13,xgb_inner_oof,0.025022243850372255,0.8333333333333334,0.2689655172413793,0.18518518518518517
0,T13,xgb_inner_oof,0.025107479582091658,0.8333333333333334,0.271264367816092,0.18564356435643564
0,T13,xgb_inner_oof,0.025464130122016794,0.8333333333333334,0.27586206896551724,0.1865671641791045
0,T13,xgb_inner_oof,0.025651721720145865,0.8333333333333334,0.28045977011494255,0.1875
0,T13,xgb_inner_oof,0.025705368927428376,0.8333333333333334,0.2850574712643678,0.1884422110552764
0,T13,xgb_inner_oof,0.025848427943639663,0.8333333333333334,0.2896551724137931,0.1893939393939394
0,T13,xgb_inner_oof,0.025984274140257647,0.8333333333333334,0.29195402298850576,0.189873417721519
0,T13,xgb_inner_oof,0.02616274112072631,0.8333333333333334,0.296551724137931,0.19083969465648856
0,T13,xgb_inner_oof,0.026304031921158322,0.8333333333333334,0.30114942528735633,0.1918158567774936
0,T13,xgb_inner_oof,0.026397069823038403,0.8333333333333334,0.3057471264367816,0.1928020565552699
0,T13,xgb_inner_oof,0.02646661647418382,0.8333333333333334,0.3103448275862069,0.1937984496124031
0,T13,xgb_inner_oof,0.026630288655039608,0.8333333333333334,0.31494252873563217,0.19480519480519481
0,T13,xgb_inner_oof,0.02672795682472806,0.8333333333333334,0.31724137931034485,0.1953125
0,T13,xgb_inner_oof,0.02687513369251841,0.8333333333333334,0.3218390804597701,0.19633507853403143
0,T13,xgb_inner_oof,0.02695825699214775,0.8333333333333334,0.3264367816091954,0.19736842105263158
0,T13,xgb_inner_oof,0.02698462151118808,0.8333333333333334,0.3310344827586207,0.1984126984126984
0,T13,xgb_inner_oof,0.027041896498884083,0.8333333333333334,0.335632183908046,0.19946808510638298
0,T13,xgb_inner_oof,0.02722832542798801,0.8333333333333334,0.34022988505747126,0.20053475935828877
0,T13,xgb_inner_oof,0.02727225248247979,0.8333333333333334,0.3425287356321839,0.20107238605898123
0,T13,xgb_inner_oof,0.02733942506546535,0.8333333333333334,0.3471264367816092,0.20215633423180593
0,T13,xgb_inner_oof,0.027444420112380942,0.8333333333333334,0.35172413793103446,0.2032520325203252
0,T13,xgb_inner_oof,0.02761464160385988,0.8333333333333334,0.3563218390804598,0.20435967302452315
0,T13,xgb_inner_oof,0.02784486015652026,0.8333333333333334,0.36091954022988504,0.2054794520547945
0,T13,xgb_inner_oof,0.027915293876093837,0.8333333333333334,0.3632183908045977,0.20604395604395603
0,T13,xgb_inner_oof,0.027978358762614664,0.8333333333333334,0.367816091954023,0.20718232044198895
0,T13,xgb_inner_oof,0.028254338961911797,0.8333333333333334,0.3724137931034483,0.20833333333333334
0,T13,xgb_inner_oof,0.028563380705611346,0.8333333333333334,0.37701149425287356,0.20949720670391062
0,T13,xgb_inner_oof,0.028629133423173782,0.7777777777777778,0.3793103448275862,0.19662921348314608
0,T13,xgb_inner_oof,0.02872738779930172,0.7777777777777778,0.3839080459770115,0.1977401129943503
0,T13,xgb_inner_oof,0.028817988287307316,0.7777777777777778,0.38620689655172413,0.19830028328611898
0,T13,xgb_inner_oof,0.02898006233977772,0.7777777777777778,0.39080459770114945,0.19943019943019943
0,T13,xgb_inner_oof,0.029087875735957985,0.7777777777777778,0.3954022988505747,0.20057306590257878
0,T13,xgb_inner_oof,0.029305797295049098,0.7777777777777778,0.4,0.2017291066282421
0,T13,xgb_inner_oof,0.029353090563312915,0.7777777777777778,0.4045977011494253,0.2028985507246377
0,T13,xgb_inner_oof,0.029452169273680932,0.7777777777777778,0.4068965517241379,0.20348837209302326
0,T13,xgb_inner_oof,0.029597603963601664,0.7777777777777778,0.4114942528735632,0.2046783625730994
0,T13,xgb_inner_oof,0.02970156604899941,0.7777777777777778,0.4160919540229885,0.20588235294117646
0,T13,xgb_inner_oof,0.03015993053541599,0.7777777777777778,0.4206896551724138,0.20710059171597633
0,T13,xgb_inner_oof,0.030457392351990104,0.7777777777777778,0.42528735632183906,0.20833333333333334
0,T13,xgb_inner_oof,0.030791594772614537,0.7777777777777778,0.4298850574712644,0.20958083832335328
0,T13,xgb_inner_oof,0.030897318481537442,0.7777777777777778,0.432183908045977,0.21021021021021022
0,T13,xgb_inner_oof,0.030981140673190383,0.7777777777777778,0.4367816091954023,0.21148036253776434
0,T13,xgb_inner_oof,0.031110794314115967,0.7777777777777778,0.4413793103448276,0.2127659574468085
0,T13,xgb_inner_oof,0.03128018505140546,0.7777777777777778,0.4459770114942529,0.21406727828746178
0,T13,xgb_inner_oof,0.03152401276646292,0.7777777777777778,0.45057471264367815,0.2153846153846154
0,T13,xgb_inner_oof,0.031604299945970776,0.7777777777777778,0.4528735632183908,0.21604938271604937
0,T13,xgb_inner_oof,0.0316834103606968,0.7222222222222222,0.45517241379310347,0.20186335403726707
0,T13,xgb_inner_oof,0.03181345408827098,0.7222222222222222,0.45977011494252873,0.203125
0,T13,xgb_inner_oof,0.03186741720054635,0.7222222222222222,0.46436781609195404,0.20440251572327045
0,T13,xgb_inner_oof,0.031927091841095157,0.7222222222222222,0.4689655172413793,0.20569620253164558
0,T13,xgb_inner_oof,0.031970179883079035,0.7222222222222222,0.4735632183908046,0.2070063694267516
0,T13,xgb_inner_oof,0.031988090501603325,0.7222222222222222,0.47586206896551725,0.20766773162939298
0,T13,xgb_inner_oof,0.03218891743136493,0.7222222222222222,0.4804597701149425,0.2090032154340836
0,T13,xgb_inner_oof,0.03242058446259276,0.7222222222222222,0.4850574712643678,0.21035598705501618
0,T13,xgb_inner_oof,0.03243798701353629,0.7222222222222222,0.4896551724137931,0.21172638436482086
0,T13,xgb_inner_oof,0.032470997440172185,0.6666666666666666,0.49195402298850577,0.19672131147540983
0,T13,xgb_inner_oof,0.03263676100255564,0.6666666666666666,0.4942528735632184,0.19736842105263158
0,T13,xgb_inner_oof,0.03288059877063115,0.6666666666666666,0.49885057471264366,0.1986754966887417
0,T13,xgb_inner_oof,0.03300054306594396,0.6666666666666666,0.503448275862069,0.2
0,T13,xgb_inner_oof,0.03305048639251312,0.6666666666666666,0.5080459770114942,0.20134228187919462
0,T13,xgb_inner_oof,0.033403677351150365,0.6666666666666666,0.5126436781609195,0.20270270270270271
0,T13,xgb_inner_oof,0.033825539644234466,0.6666666666666666,0.5172413793103449,0.20408163265306123
0,T13,xgb_inner_oof,0.034122147953588755,0.6666666666666666,0.5195402298850574,0.20477815699658702
