outer_fold,label,candidate,inner_pr_auc,inner_f2,inner_threshold_raw
0,T13,A_shallow,0.11108834596735914,0.17391304347826086,0.061929550021886826
0,T13,B_conservative,0.11250808827090641,0.16032064128256512,0.02130071446299553
0,T13,C_slow,0.09100141667686479,0.16032064128256512,0.02241415437310934
0,T18,A_shallow,0.4460105003325815,0.4792332268370607,0.25834429264068604
0,T18,B_conservative,0.4365451875606223,0.487012987012987,0.1778404340147972
0,T18,C_slow,0.4362304952119638,0.46439628482972134,0.15742164105176926
0,T21,A_shallow,0.021506005443355142,0.10514018691588785,0.05193249322474003
0,T21,B_conservative,0.023924687910329874,0.10344827586206896,0.031994275748729706
0,T21,C_slow,0.020715361222942222,0.10465116279069768,0.03398436680436134
0,any,A_shallow,0.39216879263992727,0.5447941888619855,0.32082515954971313
0,any,B_conservative,0.3919399453072988,0.539568345323741,0.25722065567970276
0,any,C_slow,0.42177290391514405,0.5232558139534884,0.23320653289556503
1,T13,A_shallow,0.17553447997604854,0.33653846153846156,0.25182385742664337
1,T13,B_conservative,0.1492903187470378,0.41420118343195267,0.17185596376657486
1,T13,C_slow,0.15906127891012417,0.3977272727272727,0.18512193113565445
1,T18,A_shallow,0.3406657568886814,0.4166666666666667,0.2804315686225891
1,T18,B_conservative,0.2871717204615388,0.39509536784741145,0.16597407311201096
1,T18,C_slow,0.2968365401039572,0.4061624649859944,0.1837913542985916
1,T21,A_shallow,0.020062347515749153,0.09615384615384616,0.049459557980298996
1,T21,B_conservative,0.02068885748653462,0.09174311926605505,0.02306462451815605
1,T21,C_slow,0.02329754870948677,0.10126582278481013,0.03249904327094555
1,any,A_shallow,0.31885143942658756,0.4659090909090909,0.276264950633049
1,any,B_conservative,0.3115294472262219,0.4124748490945674,0.15350589901208878
1,any,C_slow,0.28878157249222136,0.4343220338983051,0.18096314370632172
2,T13,A_shallow,0.0882752643974981,0.23809523809523808,0.12814005464315414
2,T13,B_conservative,0.14600462164294037,0.23460410557184752,0.058294180780649185
2,T13,C_slow,0.14567978191803954,0.23323615160349853,0.06149866059422493
2,T18,A_shallow,0.23285855878342188,0.3225806451612903,0.15124308317899704
2,T18,B_conservative,0.2764419205970949,0.3816793893129771,0.1534103974699974
2,T18,C_slow,0.2930034456237427,0.3968253968253968,0.16500632464885712
2,T21,A_shallow,0.045649234878202265,0.10044642857142858,0.0414623748511076
2,T21,B_conservative,0.04752845435566774,0.09433962264150944,0.01766818854957819
2,T21,C_slow,0.04659443252563604,0.09740259740259741,0.023109636269509792
2,any,A_shallow,0.2450843733386823,0.4888888888888889,0.31310799717903137
2,any,B_conservative,0.24920947633980287,0.45643153526970953,0.19790875911712646
2,any,C_slow,0.25315495607627525,0.4835164835164835,0.22990424185991287
3,T13,A_shallow,0.12826200159032863,0.19035532994923857,0.11857826262712479
3,T13,B_conservative,0.16586569824292757,0.21551724137931033,0.08033835142850876
3,T13,C_slow,0.1599748906425228,0.22727272727272727,0.09405378997325897
3,T18,A_shallow,0.30523853373881116,0.40730337078651685,0.2560201436281204
3,T18,B_conservative,0.3541932126231113,0.35365853658536583,0.1241278201341629
3,T18,C_slow,0.329441150504918,0.3460620525059666,0.12249693274497986
3,T21,A_shallow,0.018818063852707095,0.11056511056511056,0.07497335225343704
3,T21,B_conservative,0.018876246482537235,0.10273972602739725,0.03146481141448021
3,T21,C_slow,0.01872184951461109,0.10158013544018059,0.029268893413245678
3,any,A_shallow,0.3231525133596421,0.4725274725274725,0.3090563118457794
3,any,B_conservative,0.37283222245006364,0.4460580912863071,0.19776767492294312
3,any,C_slow,0.36806201484932,0.4352226720647773,0.1949487403035164
